Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      10	       0	       4	       4	       6	      24	        0.42	         0.00	        0.17	         0.17	          0.25	          1.00	         4.21	            2	            3	            4	            6	            8
     1	       3	       0	       2	       0	       0	       5	        0.60	         0.00	        0.40	         0.00	          0.00	          1.00	         6.40	            3	            7	            7	            7	            8
     2	       3	       0	       3	       1	       8	      15	        0.20	         0.00	        0.20	         0.07	          0.53	          1.00	         7.60	            3	            5	            7	           10	           14
     3	       1	       1	       2	       0	       1	       5	        0.20	         0.20	        0.40	         0.00	          0.20	          1.00	         5.00	            3	            3	            3	            5	           11
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
