Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       7	      19	       2	       7	       5	      40	        0.18	         0.48	        0.05	         0.18	          0.13	          1.00	         4.88	            2	            3	            5	            6	            8
     1	       3	       9	       3	       1	       1	      17	        0.18	         0.53	        0.18	         0.06	          0.06	          1.00	         5.00	            2	            3	            5	            6	           11
     2	       3	       4	       0	       4	       1	      12	        0.25	         0.33	        0.00	         0.33	          0.08	          1.00	         7.17	            1	            4	            8	            8	           20
     3	       1	       4	       1	       1	       3	      10	        0.10	         0.40	        0.10	         0.10	          0.30	          1.00	         9.60	            2	            4	            7	           12	           35
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
