Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      35	      61	      10	      11	      11	     128	        0.27	         0.48	        0.08	         0.09	          0.09	          1.00	         6.11	            1	            3	            4	            6	           97
     1	       3	      12	       1	       3	       6	      25	        0.12	         0.48	        0.04	         0.12	          0.24	          1.00	        12.96	            1	            5	            7	           11	           67
     2	       0	       8	       2	       3	      15	      28	        0.00	         0.29	        0.07	         0.11	          0.54	          1.00	        13.18	            2	            6	           11	           18	           75
     3	       4	       7	       3	       4	      21	      39	        0.10	         0.18	        0.08	         0.10	          0.54	          1.00	        18.26	            3	            7	           13	           20	           95
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
