Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      38	      48	      21	      14	      24	     145	        0.26	         0.33	        0.14	         0.10	          0.17	          1.00	         4.19	            1	            3	            4	            5	           13
     1	       3	      14	       4	       9	      14	      44	        0.07	         0.32	        0.09	         0.20	          0.32	          1.00	         5.59	            2	            4	            6	            7	           10
     2	       2	      10	       0	       7	      13	      32	        0.06	         0.31	        0.00	         0.22	          0.41	          1.00	         6.81	            1	            5	            7	            9	           12
     3	       7	      11	       6	       7	      24	      55	        0.13	         0.20	        0.11	         0.13	          0.44	          1.00	         7.35	            1	            5	            7	           10	           14
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
