Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       3	       0	       0	       1	       0	       4	        0.75	         0.00	        0.00	         0.25	          0.00	          1.00	         4.00	            2	            4	            4	            6	            6
     1	       3	       0	       1	       0	       0	       4	        0.75	         0.00	        0.25	         0.00	          0.00	          1.00	         4.25	            3	            3	            4	            7	            7
     2	       3	       3	       0	       0	       1	       7	        0.43	         0.43	        0.00	         0.00	          0.14	          1.00	         3.57	            1	            2	            3	            6	            7
     3	       0	       0	       1	       2	       3	       6	        0.00	         0.00	        0.17	         0.33	          0.50	          1.00	         8.33	            4	            7	            8	            9	           14
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
