Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       6	       0	       1	       0	       2	       9	        0.67	         0.00	        0.11	         0.00	          0.22	          1.00	         4.22	            2	            2	            3	            6	            9
     1	       2	       1	       0	       0	       3	       6	        0.33	         0.17	        0.00	         0.00	          0.50	          1.00	         3.83	            1	            2	            5	            6	            7
     2	       3	       1	       0	       0	       0	       4	        0.75	         0.25	        0.00	         0.00	          0.00	          1.00	         3.25	            2	            3	            3	            5	            5
     3	       1	       1	       0	       1	       0	       3	        0.33	         0.33	        0.00	         0.33	          0.00	          1.00	         6.33	            2	            2	            6	           11	           11
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
