Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       2	       0	       1	       0	       0	       3	        0.67	         0.00	        0.33	         0.00	          0.00	          1.00	         4.33	            2	            2	            3	            8	            8
     1	       2	       0	       0	       0	       0	       2	        1.00	         0.00	        0.00	         0.00	          0.00	          1.00	         3.00	            3	            3	            3	            3	            3
     2	       4	       0	       1	       1	       2	       8	        0.50	         0.00	        0.13	         0.13	          0.25	          1.00	         6.75	            4	            5	            7	            9	            9
     3	       5	       1	       3	       3	      13	      25	        0.20	         0.04	        0.12	         0.12	          0.52	          1.00	         5.88	            3	            4	            6	            6	           14
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
