Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       5	       4	      15	       4	      13	      41	        0.12	         0.10	        0.37	         0.10	          0.32	          1.00	         6.68	            2	            4	            7	            8	           16
     1	       1	       3	       5	       5	       9	      23	        0.04	         0.13	        0.22	         0.22	          0.39	          1.00	         8.17	            2	            6	            8	           10	           20
     2	       2	       4	       2	       2	       7	      17	        0.12	         0.24	        0.12	         0.12	          0.41	          1.00	         7.18	            1	            3	            7	           10	           15
     3	       1	      10	       4	       3	      12	      30	        0.03	         0.33	        0.13	         0.10	          0.40	          1.00	         8.57	            2	            4	            8	           11	           22
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
