Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      10	      28	       6	       6	       3	      53	        0.19	         0.53	        0.11	         0.11	          0.06	          1.00	         4.28	            1	            3	            4	            5	           19
     1	       1	      20	       2	       8	       5	      36	        0.03	         0.56	        0.06	         0.22	          0.14	          1.00	         5.08	            2	            3	            5	            7	            9
     2	       0	       5	       5	       7	       3	      20	        0.00	         0.25	        0.25	         0.35	          0.15	          1.00	         7.55	            2	            4	            7	           11	           19
     3	       0	       6	       2	       3	       0	      11	        0.00	         0.55	        0.18	         0.27	          0.00	          1.00	         4.45	            3	            3	            4	            6	            7
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
