Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      12	       3	      13	       6	      13	      47	        0.26	         0.06	        0.28	         0.13	          0.28	          1.00	         5.83	            1	            4	            6	            7	           11
     1	       0	       3	       0	       1	       4	       8	        0.00	         0.38	        0.00	         0.13	          0.50	          1.00	         6.38	            4	            5	            7	            8	           10
     2	       1	       2	       0	       2	       0	       5	        0.20	         0.40	        0.00	         0.40	          0.00	          1.00	         6.00	            5	            5	            6	            7	            7
     3	       0	       3	       0	       6	       7	      16	        0.00	         0.19	        0.00	         0.38	          0.44	          1.00	        12.13	            3	            4	            6	           27	           34
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
