Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      23	      14	      15	      12	      15	      79	        0.29	         0.18	        0.19	         0.15	          0.19	          1.00	         4.70	            1	            3	            4	            6	           10
     1	       2	       4	       5	       6	      12	      29	        0.07	         0.14	        0.17	         0.21	          0.41	          1.00	         6.52	            1	            4	            6	            9	           12
     2	       0	       1	       3	       2	      12	      18	        0.00	         0.06	        0.17	         0.11	          0.67	          1.00	         7.11	            2	            4	            8	           10	           13
     3	       0	       2	       2	       5	       7	      16	        0.00	         0.13	        0.13	         0.31	          0.44	          1.00	         7.56	            3	            6	            7	           11	           15
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
