Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      27	       8	      14	       4	       6	      59	        0.46	         0.14	        0.24	         0.07	          0.10	          1.00	         4.83	            1	            3	            3	            6	           19
     1	      11	       2	       7	       2	       5	      27	        0.41	         0.07	        0.26	         0.07	          0.19	          1.00	         6.22	            1	            4	            5	            7	           25
     2	       2	      15	      15	       3	       5	      40	        0.05	         0.38	        0.38	         0.08	          0.13	          1.00	         6.78	            1	            5	            6	            7	           44
     3	       5	       5	       6	      11	      14	      41	        0.12	         0.12	        0.15	         0.27	          0.34	          1.00	         7.61	            1	            5	            8	           10	           18
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
