Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      10	      10	       7	       8	      13	      48	        0.21	         0.21	        0.15	         0.17	          0.27	          1.00	         5.25	            1	            3	            5	            7	           18
     1	       0	       0	       3	       1	       7	      11	        0.00	         0.00	        0.27	         0.09	          0.64	          1.00	         6.55	            3	            3	            6	            8	           14
     2	       2	       3	       3	       2	       3	      13	        0.15	         0.23	        0.23	         0.15	          0.23	          1.00	         6.62	            2	            2	            5	            9	           19
     3	       0	       3	       1	       4	       5	      13	        0.00	         0.23	        0.08	         0.31	          0.38	          1.00	         8.15	            2	            4	            6	           10	           29
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
