Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       7	       1	       1	       0	       1	      10	        0.70	         0.10	        0.10	         0.00	          0.10	          1.00	         3.70	            2	            3	            4	            5	            5
     1	       4	       0	       1	       0	       1	       6	        0.67	         0.00	        0.17	         0.00	          0.17	          1.00	         4.33	            1	            3	            5	            5	            8
     2	       0	       1	       1	       0	       0	       2	        0.00	         0.50	        0.50	         0.00	          0.00	          1.00	         3.50	            2	            2	            5	            5	            5
     3	       2	       1	       0	       1	       2	       6	        0.33	         0.17	        0.00	         0.17	          0.33	          1.00	         6.67	            1	            2	            7	           12	           14
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
