Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       3	       0	       0	       0	       1	       4	        0.75	         0.00	        0.00	         0.00	          0.25	          1.00	         4.00	            1	            2	            4	            9	            9
     1	       3	       0	       2	       0	       4	       9	        0.33	         0.00	        0.22	         0.00	          0.44	          1.00	         6.78	            2	            5	            7	           10	           10
     2	       6	       0	       1	       0	       6	      13	        0.46	         0.00	        0.08	         0.00	          0.46	          1.00	         8.77	            3	            7	           10	           11	           14
     3	       6	       1	       1	       2	       3	      13	        0.46	         0.08	        0.08	         0.15	          0.23	          1.00	         7.85	            1	            2	            7	           11	           22
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
