Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       1	       0	       0	       0	       0	       1	        1.00	         0.00	        0.00	         0.00	          0.00	          1.00	         4.00	            4	            4	            4	            4	            4
     1	       3	       0	       0	       0	       1	       4	        0.75	         0.00	        0.00	         0.00	          0.25	          1.00	         5.50	            2	            5	            7	            8	            8
     2	       5	       0	       1	       0	       1	       7	        0.71	         0.00	        0.14	         0.00	          0.14	          1.00	         9.00	            2	            7	           10	           11	           13
     3	       5	       3	       1	       1	       2	      12	        0.42	         0.25	        0.08	         0.08	          0.17	          1.00	         5.42	            1	            2	            5	            9	           13
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
