Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
     1	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
     2	      12	       0	       6	       1	      11	      30	        0.40	         0.00	        0.20	         0.03	          0.37	          1.00	         6.73	            1	            5	            8	            8	           10
     3	       7	       4	      10	       1	       8	      30	        0.23	         0.13	        0.33	         0.03	          0.27	          1.00	         5.83	            3	            4	            6	            7	           10
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
