Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      13	      46	      11	      11	       7	      88	        0.15	         0.52	        0.13	         0.13	          0.08	          1.00	         4.16	            1	            3	            4	            5	           11
     1	       3	       6	       3	       2	       3	      17	        0.18	         0.35	        0.18	         0.12	          0.18	          1.00	         7.82	            1	            3	            6	           13	           20
     2	       1	       6	       1	       1	       1	      10	        0.10	         0.60	        0.10	         0.10	          0.10	          1.00	         5.40	            1	            2	            4	           10	           13
     3	       1	       7	       0	       0	       0	       8	        0.13	         0.88	        0.00	         0.00	          0.00	          1.00	         3.50	            1	            3	            3	            6	            6
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
