Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       9	       0	       9	       1	       9	      28	        0.32	         0.00	        0.32	         0.04	          0.32	          1.00	         7.00	            2	            4	            6	           11	           17
     1	       4	       4	       1	       0	       2	      11	        0.36	         0.36	        0.09	         0.00	          0.18	          1.00	         5.00	            1	            2	            4	            8	           14
     2	       3	       5	       1	       0	       3	      12	        0.25	         0.42	        0.08	         0.00	          0.25	          1.00	         4.75	            2	            3	            4	            7	           11
     3	       2	       4	       1	       3	       5	      15	        0.13	         0.27	        0.07	         0.20	          0.33	          1.00	         8.07	            1	            3	            6	           10	           28
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
