Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       4	       2	       4	       7	       6	      23	        0.17	         0.09	        0.17	         0.30	          0.26	          1.00	         5.70	            3	            4	            5	            7	           15
     1	       0	       1	       3	       1	       0	       5	        0.00	         0.20	        0.60	         0.20	          0.00	          1.00	         4.80	            2	            4	            5	            6	            7
     2	       4	       0	       2	       0	       3	       9	        0.44	         0.00	        0.22	         0.00	          0.33	          1.00	         5.11	            1	            1	            6	            6	           12
     3	       0	       1	       2	       2	       7	      12	        0.00	         0.08	        0.17	         0.17	          0.58	          1.00	         7.83	            3	            6	            9	            9	           17
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
