Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      15	      66	      16	      33	      24	     154	        0.10	         0.43	        0.10	         0.21	          0.16	          1.00	         5.07	            1	            3	            5	            6	           12
     1	       3	      21	       3	       3	       5	      35	        0.09	         0.60	        0.09	         0.09	          0.14	          1.00	         5.06	            1	            3	            4	            7	           16
     2	       4	      22	       5	      10	      19	      60	        0.07	         0.37	        0.08	         0.17	          0.32	          1.00	         7.65	            1	            4	            6	            9	           45
     3	       3	      11	       3	       8	       8	      33	        0.09	         0.33	        0.09	         0.24	          0.24	          1.00	         6.64	            1	            4	            7	            9	           11
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
