Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      20	      11	       8	       4	       3	      46	        0.43	         0.24	        0.17	         0.09	          0.07	          1.00	         3.83	            1	            2	            4	            5	           10
     1	       5	       6	       1	       1	       0	      13	        0.38	         0.46	        0.08	         0.08	          0.00	          1.00	         4.31	            2	            2	            3	            6	            8
     2	       0	       3	       0	       1	       4	       8	        0.00	         0.38	        0.00	         0.13	          0.50	          1.00	         7.13	            3	            6	            7	           10	           10
     3	       0	       4	       1	       2	       1	       8	        0.00	         0.50	        0.13	         0.25	          0.13	          1.00	         7.25	            3	            5	            8	            9	           14
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
