Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      30	       8	      23	       7	      14	      82	        0.37	         0.10	        0.28	         0.09	          0.17	          1.00	         4.82	            1	            3	            4	            6	           27
     1	       8	      12	       7	       2	      10	      39	        0.21	         0.31	        0.18	         0.05	          0.26	          1.00	         5.08	            2	            3	            5	            7	           10
     2	      10	       5	       3	       5	       4	      27	        0.37	         0.19	        0.11	         0.19	          0.15	          1.00	         4.63	            1	            3	            4	            6	            9
     3	       1	       4	       1	       1	       5	      12	        0.08	         0.33	        0.08	         0.08	          0.42	          1.00	         6.83	            2	            4	            6	           11	           14
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
