Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      31	      15	      10	       4	      12	      72	        0.43	         0.21	        0.14	         0.06	          0.17	          1.00	         5.01	            1	            3	            5	            6	           14
     1	       5	      25	       3	       1	       9	      43	        0.12	         0.58	        0.07	         0.02	          0.21	          1.00	         6.88	            1	            4	            6	            8	           32
     2	       5	      17	       2	      10	       8	      42	        0.12	         0.40	        0.05	         0.24	          0.19	          1.00	         5.86	            1	            4	            6	            8	           12
     3	       4	      17	       2	      24	      11	      58	        0.07	         0.29	        0.03	         0.41	          0.19	          1.00	         7.07	            1	            4	            7	            9	           16
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
