Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       8	      26	       7	       6	       9	      56	        0.14	         0.46	        0.13	         0.11	          0.16	          1.00	         6.27	            1	            3	            6	            9	           17
     1	       4	       6	       2	       4	       6	      22	        0.18	         0.27	        0.09	         0.18	          0.27	          1.00	         7.14	            2	            3	            7	           10	           14
     2	       1	       9	       0	       3	       9	      22	        0.05	         0.41	        0.00	         0.14	          0.41	          1.00	        10.27	            4	            6	           10	           13	           20
     3	       1	       4	       1	       1	       2	       9	        0.11	         0.44	        0.11	         0.11	          0.22	          1.00	         5.78	            1	            3	            6	            8	           12
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
