Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       2	       0	       5	       0	      10	      17	        0.12	         0.00	        0.29	         0.00	          0.59	          1.00	         6.35	            3	            5	            6	            7	           10
     1	       2	       0	       2	       0	       6	      10	        0.20	         0.00	        0.20	         0.00	          0.60	          1.00	         7.70	            3	            6	            7	           11	           12
     2	       3	       1	       2	       0	      10	      16	        0.19	         0.06	        0.13	         0.00	          0.63	          1.00	         9.38	            3	            6	            8	           10	           24
     3	       4	       0	       1	       2	       2	       9	        0.44	         0.00	        0.11	         0.22	          0.22	          1.00	         5.11	            1	            3	            6	            7	           10
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
