Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       5	       4	       3	       2	       0	      14	        0.36	         0.29	        0.21	         0.14	          0.00	          1.00	         3.57	            2	            3	            4	            4	            7
     1	       3	       1	       0	       0	       0	       4	        0.75	         0.25	        0.00	         0.00	          0.00	          1.00	         4.50	            2	            4	            4	            8	            8
     2	       2	       3	       3	       1	       0	       9	        0.22	         0.33	        0.33	         0.11	          0.00	          1.00	         5.56	            3	            4	            6	            7	           10
     3	       4	       9	       2	       0	       3	      18	        0.22	         0.50	        0.11	         0.00	          0.17	          1.00	         5.56	            1	            4	            5	            8	           12
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
