Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      12	       0	      10	       0	       4	      26	        0.46	         0.00	        0.38	         0.00	          0.15	          1.00	         4.69	            3	            3	            4	            6	            9
     1	       3	       5	       0	       0	       1	       9	        0.33	         0.56	        0.00	         0.00	          0.11	          1.00	         4.22	            2	            3	            4	            5	            7
     2	       3	       2	       0	       2	       1	       8	        0.38	         0.25	        0.00	         0.25	          0.13	          1.00	         5.75	            1	            1	            5	            8	           20
     3	       0	       1	       0	       0	       0	       1	        0.00	         1.00	        0.00	         0.00	          0.00	          1.00	         4.00	            4	            4	            4	            4	            4
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
