Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      21	      79	      17	      29	      14	     160	        0.13	         0.49	        0.11	         0.18	          0.09	          1.00	         4.69	            1	            3	            4	            6	           23
     1	       3	      16	       2	       5	      11	      37	        0.08	         0.43	        0.05	         0.14	          0.30	          1.00	         6.24	            1	            4	            6	            9	           19
     2	       3	      16	       2	       7	       7	      35	        0.09	         0.46	        0.06	         0.20	          0.20	          1.00	         5.86	            1	            3	            5	            7	           22
     3	       0	      10	       0	       7	      14	      31	        0.00	         0.32	        0.00	         0.23	          0.45	          1.00	         9.06	            2	            5	            8	           12	           31
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
