Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       8	      19	      12	      12	      18	      69	        0.12	         0.28	        0.17	         0.17	          0.26	          1.00	         5.04	            1	            3	            5	            7	           10
     1	       2	       2	       0	       4	       5	      13	        0.15	         0.15	        0.00	         0.31	          0.38	          1.00	         8.54	            4	            5	            7	           11	           17
     2	       5	       5	       5	       0	       3	      18	        0.28	         0.28	        0.28	         0.00	          0.17	          1.00	         5.78	            2	            4	            6	            7	           11
     3	       5	       0	       1	       1	      14	      21	        0.24	         0.00	        0.05	         0.05	          0.67	          1.00	        14.00	            1	            7	           10	           16	           57
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
