Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       3	       0	       0	       0	       0	       3	        1.00	         0.00	        0.00	         0.00	          0.00	          1.00	         3.67	            2	            2	            4	            5	            5
     1	       9	       0	       0	       0	       0	       9	        1.00	         0.00	        0.00	         0.00	          0.00	          1.00	         5.67	            3	            3	            5	            6	           15
     2	       4	       0	       2	       0	       2	       8	        0.50	         0.00	        0.25	         0.00	          0.25	          1.00	         6.38	            3	            5	            7	            8	           10
     3	       4	       1	       2	       1	       4	      12	        0.33	         0.08	        0.17	         0.08	          0.33	          1.00	         7.83	            3	            5	            7	           10	           15
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
