Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       1	       0	       0	       0	       1	       2	        0.50	         0.00	        0.00	         0.00	          0.50	          1.00	         4.50	            3	            3	            6	            6	            6
     1	       0	       0	       0	       1	       5	       6	        0.00	         0.00	        0.00	         0.17	          0.83	          1.00	         9.00	            5	            6	           11	           11	           12
     2	       0	       4	       8	       2	       7	      21	        0.00	         0.19	        0.38	         0.10	          0.33	          1.00	         6.00	            3	            3	            6	            7	           17
     3	       2	      10	       7	       5	       5	      29	        0.07	         0.34	        0.24	         0.17	          0.17	          1.00	         7.28	            1	            4	            5	            7	           50
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
