Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      13	      57	      11	      26	      41	     148	        0.09	         0.39	        0.07	         0.18	          0.28	          1.00	         7.73	            1	            5	            7	           10	           24
     1	       2	       6	       5	       6	      16	      35	        0.06	         0.17	        0.14	         0.17	          0.46	          1.00	        12.91	            1	            7	            9	           12	           78
     2	       2	       4	       3	       8	      13	      30	        0.07	         0.13	        0.10	         0.27	          0.43	          1.00	        10.80	            3	            5	           10	           12	           34
     3	       0	       3	       1	       3	      10	      17	        0.00	         0.18	        0.06	         0.18	          0.59	          1.00	        15.41	            3	            7	           11	           21	           43
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
