Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      20	      56	      21	      29	      29	     155	        0.13	         0.36	        0.14	         0.19	          0.19	          1.00	         5.09	            1	            3	            5	            7	           11
     1	       1	      20	       4	       5	       7	      37	        0.03	         0.54	        0.11	         0.14	          0.19	          1.00	         6.08	            1	            3	            6	            8	           31
     2	       2	       7	       3	       9	      11	      32	        0.06	         0.22	        0.09	         0.28	          0.34	          1.00	         6.19	            1	            6	            7	            8	           12
     3	       1	      11	       3	       5	       9	      29	        0.03	         0.38	        0.10	         0.17	          0.31	          1.00	         8.00	            2	            6	            8	           10	           16
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
