Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       5	       1	       5	       2	       5	      18	        0.28	         0.06	        0.28	         0.11	          0.28	          1.00	         5.11	            2	            3	            5	            7	           10
     1	       0	       4	       0	       0	       2	       6	        0.00	         0.67	        0.00	         0.00	          0.33	          1.00	         5.83	            2	            3	            5	            9	           11
     2	       0	       1	       0	       1	       0	       2	        0.00	         0.50	        0.00	         0.50	          0.00	          1.00	         4.50	            4	            4	            5	            5	            5
     3	       0	       1	       0	       2	       1	       4	        0.00	         0.25	        0.00	         0.50	          0.25	          1.00	         8.00	            7	            8	            8	            9	            9
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
