Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       6	       1	       1	       3	       2	      13	        0.46	         0.08	        0.08	         0.23	          0.15	          1.00	         6.15	            1	            3	            4	            9	           14
     1	       5	       0	       1	       2	       1	       9	        0.56	         0.00	        0.11	         0.22	          0.11	          1.00	         5.44	            1	            3	            5	            9	           11
     2	       5	       6	       4	       0	       0	      15	        0.33	         0.40	        0.27	         0.00	          0.00	          1.00	         4.87	            1	            2	            4	            9	           11
     3	       2	       7	       4	       1	       8	      22	        0.09	         0.32	        0.18	         0.05	          0.36	          1.00	         5.86	            2	            2	            6	            8	           12
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
