Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       8	       0	       2	       0	       3	      13	        0.62	         0.00	        0.15	         0.00	          0.23	          1.00	         4.77	            1	            4	            5	            6	            9
     1	       3	       0	       2	       1	       3	       9	        0.33	         0.00	        0.22	         0.11	          0.33	          1.00	         5.00	            2	            4	            6	            6	            7
     2	       6	       3	       0	       0	       3	      12	        0.50	         0.25	        0.00	         0.00	          0.25	          1.00	         7.00	            2	            4	            6	            7	           27
     3	       3	      10	       4	       4	      10	      31	        0.10	         0.32	        0.13	         0.13	          0.32	          1.00	         8.97	            3	            7	            8	           10	           21
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
