Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      15	       4	      15	       3	      10	      47	        0.32	         0.09	        0.32	         0.06	          0.21	          1.00	         6.60	            2	            5	            6	            8	           18
     1	       5	       2	       4	       2	       1	      14	        0.36	         0.14	        0.29	         0.14	          0.07	          1.00	         6.14	            1	            3	            6	            7	           15
     2	       5	       8	       1	       0	       3	      17	        0.29	         0.47	        0.06	         0.00	          0.18	          1.00	         8.12	            1	            2	            8	            9	           27
     3	       0	       6	       5	       2	       1	      14	        0.00	         0.43	        0.36	         0.14	          0.07	          1.00	         6.00	            3	            5	            6	            7	           10
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
