Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      11	       6	      14	       3	       7	      41	        0.27	         0.15	        0.34	         0.07	          0.17	          1.00	         4.78	            1	            3	            4	            5	           10
     1	       1	       5	       4	       5	       4	      19	        0.05	         0.26	        0.21	         0.26	          0.21	          1.00	         5.79	            2	            4	            5	            8	           12
     2	       5	       3	       0	       4	       9	      21	        0.24	         0.14	        0.00	         0.19	          0.43	          1.00	         6.00	            1	            2	            6	            8	           18
     3	       5	       3	       0	       3	       5	      16	        0.31	         0.19	        0.00	         0.19	          0.31	          1.00	         6.63	            1	            1	            5	           10	           25
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
