Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      29	      33	      15	       5	      21	     103	        0.28	         0.32	        0.15	         0.05	          0.20	          1.00	         5.40	            1	            3	            5	            7	           18
     1	       8	      12	       3	       2	       8	      33	        0.24	         0.36	        0.09	         0.06	          0.24	          1.00	         6.76	            1	            2	            6	            9	           24
     2	       8	      16	       6	       6	       7	      43	        0.19	         0.37	        0.14	         0.14	          0.16	          1.00	         6.42	            1	            3	            6	            9	           16
     3	      10	      15	       1	       5	      21	      52	        0.19	         0.29	        0.02	         0.10	          0.40	          1.00	        23.06	            1	            7	           11	           23	          145
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
