Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       8	       8	       2	       3	       5	      26	        0.31	         0.31	        0.08	         0.12	          0.19	          1.00	         3.69	            1	            3	            3	            5	            7
     1	       2	       1	       2	       0	       1	       6	        0.33	         0.17	        0.33	         0.00	          0.17	          1.00	         4.83	            2	            2	            3	            6	           13
     2	       0	       0	       1	       2	       1	       4	        0.00	         0.00	        0.25	         0.50	          0.25	          1.00	         5.25	            3	            5	            5	            8	            8
     3	       1	       0	       2	       3	       1	       7	        0.14	         0.00	        0.29	         0.43	          0.14	          1.00	         3.86	            2	            3	            4	            5	            6
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
