Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	       2	       0	       1	       0	       0	       3	        0.67	         0.00	        0.33	         0.00	          0.00	          1.00	         5.00	            4	            4	            4	            7	            7
     1	       1	       0	       4	       0	       1	       6	        0.17	         0.00	        0.67	         0.00	          0.17	          1.00	         5.00	            3	            3	            5	            6	            9
     2	       4	       0	       2	       0	       2	       8	        0.50	         0.00	        0.25	         0.00	          0.25	          1.00	         5.13	            3	            4	            5	            6	            9
     3	       1	       0	       0	       0	       2	       3	        0.33	         0.00	        0.00	         0.00	          0.67	          1.00	         8.00	            7	            7	            8	            9	            9
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
