Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      21	       1	       2	       1	       4	      29	        0.72	         0.03	        0.07	         0.03	          0.14	          1.00	         4.59	            1	            2	            4	            5	           19
     1	       8	       5	       1	       0	       3	      17	        0.47	         0.29	        0.06	         0.00	          0.18	          1.00	         3.71	            1	            2	            3	            5	            9
     2	       5	       3	       2	       2	       1	      13	        0.38	         0.23	        0.15	         0.15	          0.08	          1.00	         3.92	            1	            2	            4	            5	            9
     3	       3	       4	       1	       1	       1	      10	        0.30	         0.40	        0.10	         0.10	          0.10	          1.00	         3.50	            1	            2	            3	            5	            9
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
