Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      61	      57	      24	      13	       9	     164	        0.37	         0.35	        0.15	         0.08	          0.05	          1.00	         3.75	            1	            3	            3	            4	           21
     1	       5	      19	       2	       5	       5	      36	        0.14	         0.53	        0.06	         0.14	          0.14	          1.00	         4.83	            1	            3	            4	            6	           14
     2	       0	      13	       2	       3	       6	      24	        0.00	         0.54	        0.08	         0.13	          0.25	          1.00	         6.04	            2	            5	            6	            8	           10
     3	       5	       7	       1	       5	       2	      20	        0.25	         0.35	        0.05	         0.25	          0.10	          1.00	         5.10	            1	            2	            4	            8	           14
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
