Period	  All1st	 AllLast	  All2nd	 AllPenU	AllOther	AllTotal	     All1st%	     AllLast%	     All2nd%	     AllPenU%	     AllOther%	     AllTotal%	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max
     0	      11	      21	       1	       3	       2	      38	        0.29	         0.55	        0.03	         0.08	          0.05	          1.00	         4.42	            1	            3	            4	            7	           10
     1	       0	       3	       0	       0	       1	       4	        0.00	         0.75	        0.00	         0.00	          0.25	          1.00	        21.75	            4	            5	            7	           71	           71
     2	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
     3	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
     4	       0	       0	       0	       0	       0	       0	            	             	            	             	              	              	             	             	             	             	             	             
