,"Author: Balloux, François",,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 23 (Of the 55 documents considered for the h-Index, 23 have been cited at least 23 times.)",,,,,,,,,,,
,Note: The h Index considers Scopus documents published after 1995.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
2005,"Tackling the population genetics of clonal and partially clonal organisms","Halkett F., Simon J.-C., Balloux F.",01695347,"Trends in Ecology and Evolution",20, 4,16,16,15,31,12,59
2005,"Geography predicts neutral genetic diversity of human populations [1]","Prugnolle F., Manica A., Balloux F.",09609822,"Current Biology",15, 5,14,12,19,31,9,54
2005,"Population genetics of complex life-cycle parasites: An illustration with trematodes","Prugnolle F., Liu H., De Meeus T., Balloux F.",00207519,"International Journal for Parasitology",35, 3,6,6,5,11,1,18
2004,"Genome-wide survey of protein kinases required for cell cycle progression","Bettencourt-Dias M., Carthew R.W., Cooper M., Jones D., Fronz L., Glover D.M., Giet R., Sinka R., Mazumdar A., Lock W.G., Balloux F., Zafiropoulos P.J., Yamaguchi S., Winter S.",00280836,"Nature",432, 7020,48,25,19,44,15,107
2004,"Clonal reproduction and linkage disequilibrium in diploids: A simulation study","de Meeus T., Balloux F.",15671348,"Infection, Genetics and Evolution",4, 4,6,4,4,8,2,16
2004,"Does heterozygosity estimate inbreeding in real populations?","Balloux F., Amos W., Coulson T.",09621083,"Molecular Ecology",13, 10,35,26,23,49,24,108
2004,"Heterozygote excess in small populations and the heterozygote-excess effective population size","Balloux F.",00143820,"Evolution",58, 9,10,4,3,7,1,18
2003,"Random Mating with a Finite Number of Matings","Balloux F., Lehmann L.",00166731,"Genetics",165, 4,4,1,2,3,0,7
2003,"Current cytogenetic map of the common shrew, Sorex araneus L.: Localization of 7 genes and 4 microsatellites","Zhdanova N.S., Fokina V.M., Balloux F., Hausser J., Borodin P.M., Volobouev V.T., Serov O.L., Larkin D.M.",00251461,"Mammalia",67, 2,1,0,0,0,0,1
2003,"The population genetics of clonal and partially clonal diploids","Balloux F., Lehmann L., De Meeus T.",00166731,"Genetics",164, 4,31,16,17,33,13,77
2003,"Testing for epistasis between deleterious mutations in a parasitoid wasp","Rivero A., Balloux F., West S.A.",00143820,"Evolution",57, 7,11,1,0,1,1,13
2003,"Isolation and characterization of 23 microsatellite loci in the hen flea Ceratophyllus gallinae","Binz T., Bonfils D., Balloux F., Richner H.",14718278,"Molecular Ecology Notes",3, 2,0,0,0,0,0,0
2003,"A female melanin ornament signals offspring fluctuating asymmetry in the barn owl","Roulin A., Ducrest A.-L., Balloux F., Dijkstra C., Riols C.",09628436,"Proceedings of the Royal Society B: Biological Sciences",270, 1511,13,4,5,9,2,24
2002,"Extreme genetic differentiation among the remnant populations of marble trout (Salmo marmoratus) in Slovenia","Fumagalli L., Snoj A., Jesensek D., Balloux F., Jug T., Duron O., Brossier F., Crivelli A.J., Berrebi P.",09621083,"Molecular Ecology",11, 12,9,8,10,18,2,29
2002,"Thirty years of evolution in Darwin's finches","Hosken D.J., Balloux F.",01695347,"Trends in Ecology and Evolution",17, 10,1,0,0,0,1,2
2002,"A taxonomical re-evaluation of the Valais chromosome race of the common shrew Sorex araneus (Insectivora: Soricidae)","Brunner H., Lugon-Moulin N., Balloux F., Fumagalli L., Hausser J.",00017051,"Acta Theriologica",47, 3,17,2,5,7,1,25
2002,"Statistical properties of population differentiation estimators under stepwise mutation in a finite island model","Balloux F., Goudet J.",09621083,"Molecular Ecology",11, 4,41,17,6,23,7,71
2002,"The estimation of population differentiation with microsatellite markers","Balloux F., Lugon-Moulin N.",09621083,"Molecular Ecology",11, 2,133,38,38,76,32,241
2002,"Mammalian population genetics: Why not Y?","Petit E., Balloux F., Excoffier L.",01695347,"Trends in Ecology and Evolution",17, 1,12,3,5,8,1,21
2001,"Kin structure and queen execution in the Argentine ant Linepithema humile","Reuter M., Balloux F., Lehmann L., Keller L.",1010061X,"Journal of Evolutionary Biology",14, 6,6,1,2,3,1,10
2001,"Sex-biased dispersal in a migratory bat: A characterization using sex-specific demographic parameters","Petit E., Balloux F., Goudet J.",00143820,"Evolution",55, 3,26,8,8,16,4,46
2001,"EASYPOP (version 1.7): A computer program for population genetics simulations","Balloux F.",00221503,"Journal of Heredity",92, 3,50,11,14,25,8,83
2001,"Testing demographic models of effective population size","Basset P., Balloux F., Perrin N.",09628436,"Proceedings of the Royal Society B: Biological Sciences",268, 1464,12,0,0,0,1,13
2000,"Microsatellites can be misleading: An empirical and simulation study","Balloux F., Brunner H., Lugon-Moulin N., Hausser J., Goudet J.",00143820,"Evolution",54, 4,97,13,13,26,8,131
2000,"Estimating gene flow across hybrid zones: How reliable are microsatellites?","Balloux F., Lugon-Moulin N., Hausser J.",00017051,"Acta Theriologica",45, 1,10,0,1,1,1,12
2000,"Genetic differentiation of common shrew Sorex araneus populations among different alpine valleys revealed by microsatellites","Lugon-Moulin N., Balloux F., Hausser J.",00017051,"Acta Theriologica",45, 1,13,1,3,4,1,18
1999,"Do riverine barriers, history or introgression shape the genetic structuring of a common shrew (Sorex araneus) population?","Lugon-Moulin N., Brunner H., Balloux F., Hausser J., Goudet J.",0018067X,"Heredity",83, 2,28,3,1,4,2,34
1998,"Microsatellite conservation, polymorphism, and GC content in shrews of the genus Sorex (Insectivora, Mammalia)","Balloux F., Ecoffey E., Fumagalli L., Goudet J., Wyttenbach A., Hausser J.",07374038,"Molecular biology and evolution",15, 4,20,5,4,9,3,32
1998,"Breeding system and genetic variance in the monogamous, semi-social shrew, Crocidura russula","Balloux F., Goudet J., Perrin N.",00143820,"Evolution",52, 4,30,1,2,3,3,36
1997,"Characterization of microsatellite loci in the greater white-toothed shrew Crocidura russula","Favre L., Balloux F.",09621083,"Molecular Ecology",6, 6,7,1,0,1,0,8
1997,"Female-biased dispersal in the monogamous mammal Crocidura russula : Evidence from field data and microsatellite patterns","Favre L., Balloux F., Goudet J., Perrin N.",09628436,"Proceedings of the Royal Society B: Biological Sciences",264, 1378,98,21,18,39,14,151
1996,"Queen number influences the primary sex ratio in the Argentine ant, Linepithema humile (= Iridomyrmex humilis)","Keller L., L'hoste G., Balloux F., Plumey O.",00033472,"Animal Behaviour",51, 2,12,2,0,2,0,14
