,"This is a citation overview for a set of 2 documents.",,,,,,,,,,,,
,,,,,,,,,,,,,
,"Unable to display h index. There are no citations to documents published after 1995. ()",,,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,<2010,2010,2011,2012,subtotal,>2012,total
Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,0,0,0,0,0,0,0
2008,"Type 2 diabetes: Follow up","Raby A., Car J., Wing M.K.",17571472,"London Journal of Primary Care",, 1,0,0,0,0,0,0,0
2008,"From website to bedside: Narrative-based e-learning","Raby A.",03080110,"Medical Education",42, 11,0,0,0,0,0,0,0
