,This is a citation overview for a set of 546 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 47 (Of the 546 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
2004,Influence of mutations affecting gonadotropin production or responsiveness on expression of inhibin subunit mRNA and protein in the mouse ovary,"Hirst R.C., Abel M.H., Wilkins V., Simpson C., Knight P.G., Zhang F.-P., Huhtaniemi I., Kumar T.R., Charlton H.M.",14701626,Reproduction,128,1,5,2,1,3,1,9
2004,Detection of hCG responsive expression of the steroidogenic acute regulatory protein in mouse leydig cells,"Manna P.R., Huhtaniemi I.T., Stocco D.M.",14809222,Biological Procedures Online,6,1,4,5,3,8,2,14
2004,Orexin A and B levels in the hypothalamus of female rats: The effects of the estrous cycle and age,"Porkka-Heiskanen T., Kalinchuk A., Alanko L., Huhtaniemi I., Stenberg D.",8044643,European Journal of Endocrinology,150,5,7,6,1,7,1,15
2004,Complete sertoli cell proliferation induced by follicle-stimulating hormone (FSH) independently of luteinizing hormone activity: Evidence from genetic models of isolated FSH action,"Allan C.M., Garcia A., Spaliviero J., Zhang F.-P., Jimenez M., Huhtaniemi I., Handelsman D.J.",137227,Endocrinology,145,4,19,4,3,7,2,28
2004,Epididymis-specific promoter-driven gene targeting: A new approach to control epididymal function?,"Suzuki K., Orgebin-Crist M.-C., Drevet J., Hinton B.T., Huhtaniemi I., Lareyre J.-J., Matusik R.J., Pons E., Poutanen M., Sipila P.",3037207,Molecular and Cellular Endocrinology,216,1,1,0,0,0,0,1
2004,Mouse models of infertility due to swollen spermatozoa,"Cooper T.G., Yeung C.-H., Wagenfeld A., Nieschlag E., Poutanen M., Huhtaniemi I., Sipila P.",3037207,Molecular and Cellular Endocrinology,216, 1-2,10,4,1,5,4,19
2004,Immortalization by large T-antigen of the adult epididymal duct epithelium,"Kirchhoff C., Orgebin-Crist M.-C., Araki Y., Huhtaniemi I., Matusik R.J., Osterhoff C., Poutanen M., Samalecos A., Sipila P., Suzuki K.",3037207,Molecular and Cellular Endocrinology,216,1,4,2,1,3,2,9
2004,Multiple Structural and Functional Abnormalities in the P450 Aromatase Expressing Transgenic Male Mice Are Ameliorated by a P450 Aromatase Inhibitor,"Li X., Strauss L., Makela S., Streng T., Huhtaniemi I., Santti R., Poutanen M.",29440,American Journal of Pathology,164,3,6,1,2,3,2,11
2004,Molecular Characterization of Postnatal Development of Testicular Steroidogenesis in Luteinizing Hormone Receptor Knockout Mice,"Zhang F.-P., Pakarainen T., Zhu F., Poutanen M., Huhtaniemi I.",137227,Endocrinology,145,3,16,14,4,18,5,39
2004,Screening of some anti-androgenic endocrine disruptors using a recombinant cell-based in vitro bioassay,"Roy P., Salminen H., Koskimies P., Simola J., Smeds A., Saukko P., Huhtaniemi I.T.",9600760,Journal of Steroid Biochemistry and Molecular Biology,88,2,10,3,10,13,3,26
2004,Male contraception - Quo vadis?,"Perheentupa A., Huhtaniemi I.",16349,Acta Obstetricia et Gynecologica Scandinavica,83,2,2,0,0,0,0,2
2004,Immortalization of Epididymal Epithelium in Transgenic Mice Expressing Simian Virus 40 T Antigen: Characterization of Cell Lines and Regulation of the Polyoma Enhancer Activator 3,"Sipila P., Shariatmadari R., Huhtaniemi I.T., Poutanen M.",137227,Endocrinology,145,1,7,4,0,4,0,11
2004,Inhibition of Small Ubiquitin-Related Modifier-1 Expression by Luteinizing Hormone Receptor Stimulation is Linked to Induction of Progesterone Receptor during Ovulation in Mouse Granulosa Cells,"Shao R., Zhang F.-P., Rung E., Palvimo J.J., Huhtaniemi I., Billig H.",137227,Endocrinology,145,1,7,1,1,2,2,11
2003,Mutations affecting gonadotropin secretion and action,Huhtaniemi I.,3010163,Hormone Research,60,3,5,2,1,3,0,8
2003,Gonadal morphology and sex hormones in male and female Wistar rats after long-term lamotrigine treatment,"Roste L.S., Tauboll E., Isojarvi J.I.T., Berner A., Berg K.A., Pakarinen A.J., Huhtaniemi I.T., Knip M., Gjerstad L.",10591311,Seizure,12,8,0,0,2,2,2,4
2003,Restoration of spermatogenesis in dibromochloropropane (DBCP)-treated rats by hormone suppression,"Meistrich M.L., Wilson G., Porter K.L., Huhtaniemi I., Shetty G., Shuttlesworth G.A.",10966080,Toxicological Sciences,76,2,3,0,4,4,1,8
2003,Gonadotrophin actions on the testis--genotypes and phenotypes of gonadotrophin and gonadotrophin receptor mutations.,Huhtaniemi I.,14217082,Endocrine development,5, ,2,0,0,0,0,2
2003,Sequestration of Connexin43 in the Early Endosomes: An Early Event of Leydig Cell Tumor Progression,"Segretain D., Fenichel P., Pointis G., Decrouy X., Dompierre J., Escalier D., Rahman N., Fiorini C., Mograbi B., Siffroi J.-P., Huhtaniemi I.",8991987,Molecular Carcinogenesis,38,4,12,4,5,9,0,21
2003,Targeted expression of human FSH receptor Asp567Gly mutant mRNA in testis of transgenic mice: Role of human FSH receptor promoter,"Nordhoff V., Gromoll J., Foppiani L., Luetjens C.M., Schlatt S., Kostova E., Huhtaniemi I., Nieschlag E., Simoni M.",1008682X,Asian Journal of Andrology,5,4,4,2,1,3,1,8
2003,The low gonadotropin-independent constitutive production of testicular testosterone is sufficient to maintain spermatogenesis,"Zhang F.-P., Pakarainen T., Poutanen M., Toppari J., Huhtaniemi I.",278424,Proceedings of the National Academy of Sciences of the United States of America,100,23,36,12,1,13,2,51
2003,Discovery in Silico and Characterization in Vitro of Novel Genes Exclusively Expressed in the Mouse Epididymis,"Penttinen J., Pujianto D.A., Sipila P., Huhtaniemi I., Poutanen M.",8888809,Molecular Endocrinology,17,11,16,2,1,3,5,24
2003,"Elevated Steroidogenesis, Defective Reproductive Organs, and Infertility in Transgenic Male Mice Overexpressing Human Chorionic Gonadotropin","Rulli S.B., Ahtiainen P., Makela S., Toppari J., Poutanen M., Huhtaniemi I.",137227,Endocrinology,144,11,19,7,1,8,1,28
2003,Obesity in transgenic female mice with constitutively elevated luteinizing hormone secretion,"Kero J.T., Savontaus E., Mikola M., Pesonen U., Koulu M., Keri R.A., Nilson J.H., Poutanen M., Huhtaniemi I.T.",1931849,American Journal of Physiology - Endocrinology and Metabolism,285,4,5,4,0,4,1,10
2003,Mouse strain susceptibility to gonadectomy-induced adrenocortical tumor formation correlates with the expression of GATA-4 and luteinizing hormone receptor,"Bielinska M., Wilson D.B., Parviainen H., Porter-Tinge S.B., Kiiveri S., Genova E., Rahman N., Huhtaniemi I.T., Muglia L.J., Heikinheimo M.",137227,Endocrinology,144,9,17,8,4,12,5,34
2003,Female mice carrying a ubiquitin promoter-Insl3 transgene have descended ovaries and inguinal hernias but normal fertility,"Koskimies P., Suvanto M., Nokkala E., Huhtaniemi I.T., McLuskey A., Themmen A.P.N., Poutanen M.",3037207,Molecular and Cellular Endocrinology,206, 1-2,12,4,3,7,1,20
2003,Luteinizing hormone receptor knockout (LuRKO) mice and transgenic human chorionic gonadotropin (hCG)-overexpressing mice (hCG ??+) have bone phenotypes,"Yarram S.J., Sandy J.R., Mansell J.P., Perry M.J., Christopher T.J., Westby K., Brown N.L., Lamminen T., Rulli S.B., Zhang F.-P., Huhtaniemi I.",137227,Endocrinology,144,8,8,6,3,9,2,19
2003,Leydig cell-specific expression of DAX1 improves fertility of the Dax1-deficient mouse,"Meeks J.J., Russell T.A., Jeffs B., Huhtaniemi I., Weiss J., Jameson J.L.",63363,Biology of Reproduction,69,1,10,2,0,2,1,13
2003,"The polymorphic androgen receptor gene CAG repeat, pituitary-testicular function and andropausal symptoms in ageing men","Harkonen K., Pollanen P., Huhtaniemi I., Makinen J., Hubler D., Irjala K., Koskenvuo M., Oettel M., Raitakari O., Saad F.",1056263,International Journal of Andrology,26,3,18,9,1,10,4,32
2003,High levels of luteinizing hormone analog stimulate gonadal and adrenal tumorigenesis in mice transgenic for the mouse inhibin-?-subunit promoter/Simian virus 40 T-antigen fusion gene,"Mikola M., Kero J., Nilson J.H., Keri R.A., Poutanen M., Huhtaniemi I.",9509232,Oncogene,22,21,14,2,2,4,3,21
2003,A novel approach of targeted ablation of mammary carcinoma cells through luteinizing hormone receptors using Hecate-CG? conjugate,"Bodek G., Rahman N.A., Zaleska M., Soliymani R., Lankinen H., Hansel W., Huhtaniemi I., Ziecik A.J.",1676806,Breast Cancer Research and Treatment,79,1,8,4,2,6,2,16
2003,Adenosine triphosphate induces Ca2+ signal in epithelial cells of the mouse caput epididymis through activation of P2X and P2Y purinergic receptors,"Shariatmadari R., Sipila P., Vierula M., Tornquist K., Huhtaniemi I., Poutanen M.",63363,Biology of Reproduction,68,4,4,2,1,3,1,8
2003,Age-related uterine and ovarian hypertrophy in FSH receptor knockout and FSH? subunit knockout mice,"Abel M.H., Huhtaniemi I., Pakarinen P., Kumar T.R., Charlton H.M.",14701626,Reproduction,125,2,13,3,2,5,1,19
2003,A novel loss of function mutation in exon 10 of the FSH receptor gene causing hypergonadotrophic hypogonadism: Clinical and molecular characteristics,"Allen L.A., Achermann J.C., Pakarinen P., Kotlar T.J., Huhtaniemi I.T., Jameson J.L., Cheetham T.D., Ball S.G.",2681161,Human Reproduction,18,2,17,4,7,11,3,31
2003,Effect of FSH priming on response to hCG in subjects with follicle stimulating hormone receptor (FSHR) mutations [9] (multiple letters),"Blumenfeld Z., Vaskivuo T.E., Huhtaniemi I., Tapanainen J.S.",150282,Fertility and Sterility,79,1,0,0,0,0,0,0
2003,"Failure of normal Leydig cell development in follicle-stimulating hormone (FSH) receptor-deficient mice, but not FSH?-deficient mice: Role for constitutive FSH receptor activity","Baker P.J., Pakarinen P., Huhtaniemi I.T., Abel M.H., Charlton H.M., Kumar T.R., O'Shaughnessy P.J.",137227,Endocrinology,144,1,18,6,6,12,0,30
2002,The role of mutations affecting gonadotrophin secretion and action in disorders of pubertal development,Huhtaniemi I.T.,1521690X,Best Practice and Research: Clinical Endocrinology and Metabolism,16,1,6,1,0,1,2,9
2002,A novel mutation in the FSH receptor inhibiting signal transduction and causing primary ovarian failure,"Doherty E., Pakarinen P., Tiitinen A., Kiilavuori A., Huhtaniemi I., Forrest S., Aittomaki K.",0021972X,Journal of Clinical Endocrinology and Metabolism,87,3,30,5,10,15,5,50
2002,How much LH do the Leydig cells see?,"Setchell B.P., Pakarinen P., Huhtaniemi I.",220795,Journal of Endocrinology,175,2,5,0,0,0,0,5
2002,Pituitary hormones are not required for sexual differentiation of male mice: Phenotype of the T/ebp/Nkx2.1 null mutant mice,"Pakarinen P., Kimura S., El-Gehani F., Pelliniemi L.J., Huhtaniemi I.",137227,Endocrinology,143,11,13,4,1,5,1,19
2002,Epididymal dysfunction initiated by the expression of simian virus 40 T-antigen leads to angulated sperm flagella and infertility in transgenic mice,"Sipila P., Cooper T.G., Yeung C.-H., Mustonen M., Penttinen J., Drevet J., Huhtaniemi I., Poutanen M.",8888809,Molecular Endocrinology,16,11,18,3,1,4,1,23
2002,Mechanisms of epidermal growth factor signaling: Regulation of steroid biosynthesis and the steroidogenic acute regulatory protein in mouse Leydig tumor cells,"Manna P.R., Huhtaniemi I.T., Wang X.-J., Eubank D.W., Stocco D.M.",63363,Biology of Reproduction,67,5,17,4,3,7,3,27
2002,Effects of chronic valproate treatment on reproductive endocrine hormones in female and male Wistar rats,"Sveberg Roste L., Tauboll E., Isojarvi J.I.T., Pakarinen A.J., Huhtaniemi I.T., Knip M., Gjerstad L.",8906238,Reproductive Toxicology,16,6,9,4,11,15,3,27
2002,"Transgenic mice harboring murine luteinizing hormone receptor promoter/?-galactosidase fusion genes: Different structural and hormonal requirements of expression in the testis, ovary, and adrenal gland","Hamalainen T., Kero J., Poutanen M., Huhtaniemi I.",137227,Endocrinology,143,10,5,0,0,0,0,5
2002,"Reproductive disturbances, pituitary lactotrope adenomas, and mammary gland tumors in transgenic female mice producing high levels of human chorionic gonadotropin","Rulli S.B., Kuorelahti A., Karaer O., Pelliniemi L.J., Poutanen M., Huhtaniemi I.",137227,Endocrinology,143,10,27,8,4,12,1,40
2002,Functional study of a recombinant form of human LH?-subunit variant carrying the Gly102Ser mutation found in Asian populations,"Lamminen T., Jiang M., Manna P.R., Pakarinen P., Simonsen H., J.herrera R., Huhtaniemi I.",13609947,Molecular Human Reproduction,8,10,5,0,0,0,0,5
2002,Inhibition of recovery of spermatogenesis in irradiated rats by different androgens,"Shetty G., Wilson G., Hardy M.P., Enmei N., Huhtaniemi I., Meistrich M.L.",137227,Endocrinology,143,9,21,3,2,5,1,27
2002,Effects of follicle-stimulating hormone (FSH) and human chorionic gonadotropin in individuals with an inactivating mutation of the FSH receptor,"Vaskivuo T.E., Aittomaki K., Anttonen M., Ruokonen A., Herva R., Osawa Y., Heikinheimo M., Huhtaniemi I., Tapanainen J.S.",150282,Fertility and Sterility,78,1,12,2,4,6,0,18
2002,The ovarian gonadotropin receptors in health and disease,"Fowler P.A., Huhtaniemi I.T.",13899155,Reviews in Endocrine and Metabolic Disorders,3,1,0,1,0,1,1,2
2002,Sperm volume regulation: Maturational changes in fertile and infertile transgenic mice and association with kinematics and tail angulation,"Yeung C.-H., Anapolski M., Sipila P., Wagenfeld A., Poutanen M., Huhtaniemi I., Nieschlag E., Cooper T.G.",63363,Biology of Reproduction,67,1,29,5,2,7,6,42
2002,Lack of association of the common immunologically anomalous LH with endometriosis,"Gazvani R., Pakarinen P., Fowler P., Logan S., Huhtaniemi I.",2681161,Human Reproduction,17,6,1,0,0,0,0,1
2002,LH and FSH receptor mutations and their effects on puberty,Huhtaniemi I.T.,3010163,Hormone Research,57,2,5,2,1,3,0,8
2002,Functional characterization of the human FSH receptor with an inactivating Ala189Val mutation,"Rannikko A., Pakarinen P., Manna P.R., Beau I., Misrahi M., Aittomaki K., Huhtaniemi I.",13609947,Molecular Human Reproduction,8,4,12,6,2,8,6,26
2002,Ovarian and adrenal steroid production: Regulatory role of LH/HCG,"Piltonen T., Koivunen R., Morin-Papunen L., Ruokonen A., Huhtaniemi I.T., Tapanainen J.S.",2681161,Human Reproduction,17,3,19,6,2,8,1,28
2002,A novel Ala-3Thr mutation in the signal peptide of human luteinizing hormone ?-subunit: Potentiation of the inositol phosphate signalling pathway and attenuation of the adenylate cyclase pathwy by recombinant variant hormone,"Jiang M., Lamminen T., Pakarinen P., Hellman J., Manna P., Herrera R.J., Huhtaniemi I.",13609947,Molecular Human Reproduction,8,3,7,0,2,2,0,9
2002,Murine relaxin-like factor promoter: Functional characterization and regulation by transcription factors steroidogenic factor 1 and DAX-1,"Koskimies P., Levallet J., Sipila P., Huhtaniemi I., Poutanen M.",137227,Endocrinology,143,3,19,6,3,9,6,34
2002,Transgenic and knockout mouse models for the study of luteinizing hormone and luteinizing hormone receptor function,"Huhtaniemi I., Zhang F.-P., Kero J., Hamalainen T., Poutanen M.",3037207,Molecular and Cellular Endocrinology,187, 1-2,9,4,1,5,1,15
2002,"Synthesis, purification and structural and functional characterization of recombinant form of a common genetic variant of human luteinizing hormone","Manna P.R., Joshi L., Reinhold V.N., Aubert M.L., Suganuma N., Pettersson K., Huhtaniemi I.T.",9646906,Human Molecular Genetics,11,3,11,2,2,4,1,16
2001,Combination of subcutaneous levonorgestrel implants and transdermal dihydrotestosterone gel for male hormonal contraception,"Pollanen P., Nikkanen V., Huhtaniemi I.",1056263,International Journal of Andrology,24,6,23,1,2,3,1,27
2001,Genetic variant of luteinizing hormone: Impact on gonadal steroid sex hormones in women,"Hill M., Huhtaniemi I.T., Hampl R., Starka L.",8628408,Physiological Research,50,6,1,0,0,0,0,1
2001,Advancing perspectives on prostate cancer: Multihormonal influences in pathogenesis,"Porter A., Ben-Josef E., Crawford E.D., Garde S., Huhtaniemi I., Pontes J.E.",10915362,Molecular Urology,5,4,0,0,0,0,1,1
2001,Male biology--is the man only testosterone? | Miehen biologia--onko mies pelkkää testosteronia?,"Huhtaniemi I., Pollanen P.",127183,Duodecim,117,19,0,0,0,0,0,0
2001,Structure of the 5? region of the Hst70 gene transcription unit: Presence of an intron and multiple transcription initiation sites,"Scieglinska D., Widlak W., Konopka W., Poutanen M., Rahman N., Huhtaniemi I., Krawczyk Z.",2646021,Biochemical Journal,359,1,5,2,0,2,1,8
2001,GnRH agonists and antagonists stimulate recovery of fertility in irradiated LBNF1 rats,"Meistrich M.L., Wilson G., Shuttlesworth G., Huhtaniemi I., Reissmann T.",1963635,Journal of Andrology,22,5,10,1,3,4,0,14
2001,Molecular mechanisms of leptin action in adult rat testis: Potential targets for leptin-induced inhibition of steroidogenesis and pattern of leptin receptor messenger ribonucleic acid expression,"Tena-Sempere M., Manna P.R., Zhang F.-P., Pinilla L., Gonzalez L.C., Dieguez C., Huhtaniemi I., Aguilar E.",220795,Journal of Endocrinology,170,2,27,7,6,13,3,43
2001,Hydroforming of sheet metal pairs from aluminium alloys,"Lamminen T., Huhtaniemi I.",9240136,Journal of Materials Processing Technology,115,1,7,2,1,3,1,11
2001,Natriuretic peptides stimulate steroidogenesis in the fetal rat testis,"El-Gehani F., Tena-Sempere M., Ruskoaho H., Huhtaniemi I.",63363,Biology of Reproduction,65,2,6,6,2,8,5,19
2001,Gonadal tumors of mice double transgenic for inhibin-? promoter-driven simian virus 40 T-antigen and herpes simplex virus thymidine kinase are sensitive to ganciclovir treatment,"Mikola M.K., Rahman N.A., Paukku T.H., Ahtiainen P.M., Vaskivuo T.E., Tapanainen J.S., Poutanen M., Huhtaniemi I.T.",220795,Journal of Endocrinology,170,1,4,1,1,2,0,6
2001,"Inhibin binding sites and proteins in pituitary, gonadal, adrenal and bone cells","Farnworth P.G., Robertson D.M., Harrison C.A., Leembruggen P., Chan K.L., Stanton P.G., Ooi G.T., Rahman N.A., Huhtaniemi I.T., Findlay J.K.",3037207,Molecular and Cellular Endocrinology,180, 1-2,12,4,0,4,2,18
2001,Testosterone inhibits spermatogonial differentiation in juvenile spermatogonial depletion mice,"Shetty G., Wilson G., Huhtaniemi I., Boettger-Tong H., Meistrich M.L.",137227,Endocrinology,142,7,20,2,2,4,1,25
2001,"Luteinizing hormone, its ?-subunit variant, and epithelial ovarian cancer: The gonadotropin hypothesis revisited","Akhmedkhanov A., Toniolo P., Zeleniuch-Jacquotte A., Pettersson K.S., Huhtaniemi I.T.",29262,American Journal of Epidemiology,154,1,9,2,0,2,0,11
2001,Improved technique for detection of enhanced green fluorescent protein in transgenic mice,"Shariatmadari R., Sipila P.P., Huhtaniemi I.T., Poutanen M.",7366205,BioTechniques,30,6,4,5,1,6,1,11
2001,Interaction of thyroid hormone and steroidogenic acute regulatory (StAR) protein in the regulation of murine Leydig cell steroidogenesis,"Manna P.R., Roy P., Clark B.J., Stocco D.M., Huhtaniemi I.T.",9600760,Journal of Steroid Biochemistry and Molecular Biology,76, 1-5,16,2,2,4,2,22
2001,Altered structure and function of reproductive organs in transgenic male mice overexpressing human aromatase,"Li X., Poutanen M., Nokkala E., Yan W., Streng T., Saarinen N., Warri A., Huhtaniemi I., Santti R., Makela S.",137227,Endocrinology,142,6,44,7,8,15,7,66
2001,Promoter function of different lengths of the murine luteinizing hormone receptor gene 5?-flanking region in transfected gonadal cells and in transgenic mice,"Hamalainen T., Poutanen M., Huhtaniemi I.",137227,Endocrinology,142,6,12,0,0,0,1,13
2001,A novel transgenic model to characterize the specific effects of follicle-stimulating hormone on gonadal physiology in the absence of luteinizing hormone actions,"Allan C.M., Illingworth P., Handelsman D.J., Haywood M., Swaraj S., Spaliviero J., Koch A., Jimenez M., Poutanen M., Levallet J., Huhtaniemi I.",137227,Endocrinology,142,6,21,5,2,7,1,29
2001,Perspective: Male reproduction,"Huhtaniemi I., Bartke A.",137227,Endocrinology,142,6,6,0,1,1,1,8
2001,Effects of estrous cycle and steroid replacement on the expression of leptin and uncoupling proteins in adipose tissue in the rat,"Luukkaa V., Savontaus E., Rouru J., Virtanen K.A., Boss O., Huhtaniemi I., Koulu M., Pesonen U., Huupponen R.",9513590,Gynecological Endocrinology,15,2,7,2,1,3,1,11
2001,"Ovarian tumorigenesis in mice transgenic for murine inhibin ? subunit promoter-driven Simian Virus 40 T-antigen: Ontogeny, functional characteristics, and endocrine effects","Rahman N.A., Huhtaniemi I.T.",63363,Biology of Reproduction,64,4,8,1,0,1,1,10
2001,Interferon-? inhibits cyclooxygenase-1 and stimulates cyclooxygenase-2 expression in bladder cancer cells in vitro,"Bostrom P.J., Uotila P., Rajala P., Nurmi M., Huhtaniemi I., Laato M.",3005623,Urological Research,29,1,6,0,2,2,2,10
2001,"Assessment of mechanisms of thyroid hormone action in mouse Leydig cells: Regulation of the steroidogenic acute regulatory protein, steroidogenesis, and luteinizing hormone receptor function","Manna P.R., Kero J., Tena-Sempere M., Pakarinen P., Stocco D.M., Huhtaniemi I.T.",137227,Endocrinology,142,1,24,6,4,10,5,39
2001,Biphasic action of prolactin in the regulation of murine Leydig tumor cell functions,"Manna P.R., El-Hefnawy T., Kero J., Huhtaniemi I.T.",137227,Endocrinology,142,1,18,3,3,6,2,26
2001,Neonatal imprinting and regulation of estrogen receptor alpha and beta mRNA expression by estrogen in the pituitary and hypothalamus of the male rat,"Tena-Sempere M., Gonzalez L.C., Pinilla L., Huhtaniemi I., Aguilar E.",283835,Neuroendocrinology,73,1,20,2,1,3,6,29
2001,The promoter of murine follicle-stimulating hormone receptor: Functional characterization and regulation by transcription factor steroidogenic factor 1,"Levallet J., Koskimies P., Rahman N., Huhtaniemi I.",8888809,Molecular Endocrinology,15,1,26,2,3,5,2,33
2001,Normal prenatal but arrested postnatal sexual development of luteinizing hormone receptor knockout (LuRKO) mice,"Zhang F.-P., Poutanen M., Wilbertz J., Huhtaniemi I.",8888809,Molecular Endocrinology,15,1,118,29,10,39,13,170
2001,Disparate response of wild-type and variant forms of LH to GnRH stimulation in individuals heterozygous for the LH? variant allele,"Nilsson C.H., Kaleva M., Virtanen H., Haavisto A.M., Pettersson K., Huhtaniemi I.T.",2681161,Human Reproduction,16,2,1,1,0,1,0,2
2001,A common genetic variant of luteinizing hormone; relation to normal and aberrant pituitary-gonadal function,"Lamminen T., Huhtaniemi I.",142999,European Journal of Pharmacology,414,1,16,2,1,3,1,20
2001,Functional characterization of the basal promoter of the murine LH receptor gene in immortalized mouse Leydig tumor cells,"Nikula H., Koskimies P., El-Hefnawy T., Huhtaniemi I.",9525041,Journal of Molecular Endocrinology,26,1,2,0,0,0,0,2
2001,Developmental and hormonal regulation of leptin receptor (Ob-R) messenger ribonucleic acid expression in rat testis,"Tena-Sempere M., Pinilla L., Zhang F.-P., Gonzalez L.C., Huhtaniemi I., Casanueva F.F., Dieguez C., Aguilar E.",63363,Biology of Reproduction,64,2,34,5,1,6,2,42
2001,Evaluation of the 5?-flanking regions of murine glutathione peroxidase five and cysteine-rich secretory protein-1 genes for directing transgene expression in mouse epididymis,"Lahti P.P., Shariatmadari R., Penttinen J.K., Drevet J.R., Haendler B., Vierula M., Parvinen M., Huhtaniemi I.T., Poutanen M.",63363,Biology of Reproduction,64,4,14,1,0,1,0,15
2001,Mutations of gonadotropin and gonadotropin receptor genes: The clinical spectrum,"Huhtaniemi I.T., Themmen A.P.N.",10683097,Current Opinion in Endocrinology and Diabetes,8,6,1,0,0,0,0,1
2000,Mutations of gonadotropins and gonadotropin receptors: Elucidating the physiology and pathophysiology of pituitary-gonadal function,"Themmen A.P.N., Huhtaniemi I.T.",0163769X,Endocrine Reviews,21,5,199,28,25,53,18,270
2000,Polymorphism of gonadotropin action: Clinical implications,Huhtaniemi I.T.,1008682X,Asian Journal of Andrology,2,4,2,0,0,0,0,2
2000,Enhancement of A spermatogonial proliferation and differentiation in irradiated rats by gonadotropin-releasing hormone antagonist administration,"Shuttlesworth G.A., De Rooij D.G., Huhtaniemi I., Reissmann T., Russell L.D., Shetty G., Wilson G., Meistrich M.L.",137227,Endocrinology,141,1,52,1,5,6,3,61
2000,"Progesterone action in a murine Leydig tumor cell line (mLTC-1), possibly through a nonclassical receptor type","El-Hefnawy T., Manna P.R., Luconi M., Baldi E., Slotte J.P., Huhtaniemi I.",137227,Endocrinology,141,1,24,4,5,9,1,34
2000,Gonadotropin-releasing hormone analogs stimulate and testosterone inhibits the recovery of spermatogenesis in irradiated rats,"Shetty G., Wilson G., Huhtaniemi I., Shuttlesworth G.A., Reissmann T., Meistrich M.L.",137227,Endocrinology,141,5,44,2,2,4,3,51
2000,S-6. Genetic polymorphism of gonadotrophins and gonadotrophin receptors: Functional and clinical significance,"Pettersson K., Nilsson C., Huhtaniemi I., Chatterjee V.K.K.",0085591X,"Scandinavian Journal of Clinical and Laboratory Investigation, Supplement",60,232,0,0,0,0,0,0
2000,The effect of a null mutation in the follicle-stimulating hormone receptor gene on mouse reproduction,"Abel M.H., Wootton A.N., Wilkins V., Huhtaniemi I., Knight P.G., Charlton H.M.",137227,Endocrinology,141,5,114,10,10,20,13,147
2000,Alterations of the pituitary - Gonadal axis in the neonatal blue fox (Alopex lagopus) exposed to prenatal handling stress,"Osadchuk L.V., Braastad B.O., Huhtaniemi I., Bakken M.",10313613,"Reproduction, Fertility and Development",12, 3-4,4,2,0,2,0,6
2000,Measurement of plasma free luteinizing hormone ?-subunit in women,"Couzinet B., Pantel J., Chanson P., Young J., Brailly S., Huhtaniemi I.T., Bidart J.-M., Schaison G.",0021972X,Journal of Clinical Endocrinology and Metabolism,85,6,0,0,0,0,0,0
2000,Evidence that pituitary adenylate cyclase-activating polypeptide is a potent regulator of fetal rat testicular steroidogenesis,"El-Gehani F., Tena-Sempere M., Huhtaniemi I.",63363,Biology of Reproduction,63,5,10,3,1,4,3,17
2000,Stem cell factor functions as a survival factor for mature Leydig cells and a growth factor for precursor Leydig cells after ethylene dimethane sulfonate treatment: Implication of a role of the stem cell factor/c-kit system in Leydig cell development,"Yan W., Kero J., Huhtaniemi I., Toppari J.",121606,Developmental Biology,227,1,29,6,4,10,4,43
2000,"Reproductive hormones, cancers, and conditions in relation to a common genetic variant of luteinizing hormone","Cramer D.W., Petterson K.S.I., Barbieri R.L., Huhtaniemi I.T.",2681161,Human Reproduction,15,10,10,2,0,2,1,13
2000,Activating and inactivating hormone receptor mutations,Huhtaniemi I.,3010163,Hormone Research,53,3,6,0,1,1,0,7
2000,Genetic variant of luteinizing hormone and risk of breast cancer in older women,"Akhmedkhanov A., Toniolo P., Zeleniuch-Jacquotte A., Pettersson K., Huhtaniemi I.",10559965,Cancer Epidemiology Biomarkers and Prevention,9,8,6,0,0,0,0,6
2000,Effects of androgen on androgen receptor expression in rat testicular and epididymal cells: A quantitative immunohistochemical study,"Zhu L.-J., Hardy M.P., Inigo I.V., Huhtaniemi I., Bardin C.W., Moo-Young A.J.",63363,Biology of Reproduction,63,2,25,9,6,15,4,44
2000,Long-term testosterone treatment prevents gonadal and adrenal tumorigenesis of mice transgenic for the mouse inhibin-? subunit promoter/simian virus 40 T-antigen fusion gene,"Rilianawati, Kero J., Paukku T., Huhtaniemi I.",220795,Journal of Endocrinology,166,1,9,0,0,0,0,9
2000,Mutations of gonadotrophin and gonadotrophin receptor genes: What do they teach us about reproductive physiology?,Huhtaniemi I.,224251,Journal of Reproduction and Fertility,119,2,14,2,1,3,1,18
2000,Neonatal exposure to estrogen differentially alters estrogen receptor ? and ? mRNA expression in rat testis during postnatal development,"Tena-Sempere M., Navarro J., Pinilla L., Gonzalez L.C., Huhtaniemi I., Aguilar E.",220795,Journal of Endocrinology,165,2,35,1,5,6,1,42
2000,Characterisation of three novel cationic lipids as liposomal complexes with DNA,"Subramanian M., Holopainen J.M., Paukku T., Eriksson O., Huhtaniemi I., Kinnunen P.K.J.",52736,Biochimica et Biophysica Acta - Biomembranes,1466, 1-2,18,1,1,2,1,21
