,This is a citation overview for a set of 546 documents.,,,,,,,,,,,
,,,,,,,,,,,,
,"h index = 47 (Of the 546 documents considered for the h-Index, 47 have been cited at least 47 times.)",,,,,,,,,,,
,Note: Scopus does not have complete citation information for articles published before 1996.  ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,<2007,2007,2008,subtotal,>2008,total
2009,Increased estrogen rather than decreased androgen action is associated with longer androgen receptor CAG repeats,"Huhtaniemi I.T., Boonen S., Borghs H., Vanderschueren D., Adams J.E., Ward K.A., Bartfai G., Casanueva F., Finn J.D., Forti G., Giwercman A., Pye S.R., Han T.S., Kula K., Lean M.E.J., Pendleton N., Punab M., Silman A.J., Wu F.C.W., Petrone L., Cilotti A., Slowikowska-Hilczer J., Limer K.L., Walczak-Jedrzejowska R., Wu F., Steer P., Tajar A., Lee D., Thomson W., Ocampo M., Lage M., Foldesi I., Fejes I., Korrovitz P., O'Neill T.W., Platt H., Payne D., John S.L., Jiang M.",0021972X,Journal of Clinical Endocrinology and Metabolism,94,1,0,0,0,0,2,2
2008,Smoking and low serum testosterone associates with high concentration of oxidized LDL,"Linna M.S., Ahotupa M., Irjala K., Pollanen P., Huhtaniemi I., Makinen J., Perheentupa A., Vasankari T.J.",7853890,Annals of Medicine,40,8,0,0,0,0,1,1
2008,GATA-4 regulates Bcl-2 expression in ovarian granulosa cell tumors,"Kyronlahti A., Heikinheimo M., Anttonen M., Ramo M., Tamminen M., Unkila-Kallio L., Butzow R., Leminen A., Nemer M., Rahman N., Huhtaniemi I.",137227,Endocrinology,149,11,0,0,0,0,2,2
2008,Is the adrenal cortex a target for gonadotropins?,"Bernichtein S., Alevizaki M., Huhtaniemi I.",10432760,Trends in Endocrinology and Metabolism,19,7,0,0,0,0,1,1
2008,Serum testosterone but not leptin predicts mortality in elderly men,"Lehtonen A., Huupponen R., Tuomilehto J., Lavonius S., Arve S., Isoaho H., Huhtaniemi I., Tilvis R.",20729,Age and Ageing,37,4,0,0,1,1,1,2
2008,"Male hormonal contraception: A double-blind, placebo-controlled study","Mommers E., Gerbershagen H.-P., Gronlund L., Heger-Mahn D., Huhtaniemi I., Koldewijn E.L., Lange C., Lindenberg S., Meriggiola M.C., Meuleman E., Mulders P.F.A., Kersemaekers W.M., Nieschlag E., Perheentupa A., Solomon A., Vaisala L., Wu F.C., Zitzmann M., Elliesen J., Kepers M., Apter D., Behre H.M., Beynon J., Bouloux P.M., Costantino A.",0021972X,Journal of Clinical Endocrinology and Metabolism,93,7,0,0,1,1,4,5
2008,Hypothalamic-pituitary-testicular axis disruptions in older men are differentially linked to age and modifiable risk factors: The European male aging study,"Wu F.C.W., Giwercman A., Huhtaniemi I.T., Kula K., Punab M., Boonen S., Vanderschueren D., Petrone L., Cilotti A., Borghs H., Slowikowska-Hilczer J., Tajar A., Walczak-Jedrzejowska R., Steer P., Lee D., Ocampo M., Lage M., Pye S.R., Bartfai G., Foldesi I., Fejes I., Korrovitz P., Jiang M., Silman A.J., Finn J.D., O'Neill T.W., Bartfai G., Casanueva F., Forti G.",0021972X,Journal of Clinical Endocrinology and Metabolism,93,7,0,0,1,1,17,18
2008,Assessment of sexual health in aging men in Europe: Development and validation of the European male ageing study sexual function questionnaire,"O'Connor D.B., Giwercman A., Huhtaniemi I.T., Kula K., O'Neill T.W., Pendleton N., Punab M., Silman A.J., Vanderschueren D., Wu F.C.W., Corona G., Petrone L., Cilotti A., Lean M., Han T., Borghs H., Slowikowska-Hilczer J., Walczak-Jedrzejowska R., Steer P., Ocampo M., Lage M., Forti G., Bartfai G., Foldesi I., Fejes I., Korrovitz P., Jiang M., Tajar A., Pye S., Finn J.D., Bartfai G., Boonen S., Casanueva F.F.",17436095,Journal of Sexual Medicine,5,6,0,0,0,0,3,3
2008,Targeted therapy for adrenocortical tumors in transgenic mice through their LH receptor by Hecate-human chorionic gonadotropin ? conjugate,"Vuorenoja S., Rivero-Muller A., Ziecik A.J., Huhtaniemi I., Toppari J., Rahman N.A.",13510088,Endocrine-Related Cancer,15,2,0,0,1,1,1,2
2008,The gonadotropin receptors FSH-R and LH-R of Atlantic halibut (Hippoglossus hippoglossus)-2. Differential follicle expression and asynchronous oogenesis,"Kobayashi T., Pakarinen P., Torgersen J., Huhtaniemi I., Andersen O.",166480,General and Comparative Endocrinology,156,3,0,0,1,1,2,3
2008,Endogenous testosterone and serum lipids in middle-aged men,"Makinen J.I., Perheentupa A., Irjala K., Pollanen P., Makinen J., Huhtaniemi I., Raitakari O.T.",219150,Atherosclerosis,197,2,0,0,4,4,3,7
2008,Adrenal gland tumorigenesis after gonadectomy in mice is a complex genetic trait driven by epistatic loci,"Bernichtein S., Petretto E., Jamieson S., Goel A., Aitman T.J., Mangion J.M., Huhtaniemi I.T.",137227,Endocrinology,149,2,0,0,2,2,3,5
2008,Oocyte-specific deletion of pten causes premature activation of the primordial follicle pool,"Reddy P., Peng S.L., Lan Z.-J., Cooney A.J., Huhtaniemi I., Liu K., Liu L., Adhikari D., Jagarlamudi K., Rajareddy S., Shen Y., Du C., Tang W., Hamalainen T.",368075,Science,319,5863,0,0,16,16,16,32
2008,Late-onset hypogonadism in men. Experience from the Turku Male Ageing Study (TuMAS).,"Huhtaniemi I., Makinen J.I., Perheentupa A., Raitakari O.T.",11093099,"Hormones (Athens, Greece)",7,1,0,0,0,0,1,1
2008,In vitro bioassays for androgens and their diagnostic applications,"Roy P., Alevizaki M., Huhtaniemi I.",13554786,Human Reproduction Update,14,1,0,0,0,0,1,1
2007,Mutations along the hypothalamic-pituitary-gonadal axis affecting male reproduction,"Huhtaniemi I., Alevizaki M.",14726483,Reproductive BioMedicine Online,15,6,0,0,1,1,0,1
2007,Sexual Symptoms in Aging Men Indicate Poor Life Satisfaction and Increased Health Service Consumption,"Makinen J.I., Perheentupa A., Raitakari O.T., Koskenvuo M., Pollanen P., Makinen J., Huhtaniemi I.",904295,Urology,70,6,0,0,0,0,0,0
2007,Does the andropause exist?,"Perheentupa A., Huhtaniemi I.",17458366,Nature Clinical Practice Endocrinology and Metabolism,3,10,0,0,1,1,1,2
2007,Delay of postnatal maturation sensitizes the mouse prostate to testosterone-induced pronounced hyperplasia: Protective role of estrogen receptor-?,"Savolainen S., Pakarainen T., Huhtaniemi I., Poutanen M., Makela S.",29440,American Journal of Pathology,171,3,0,0,0,0,2,2
2007,Sexual dimorphism in superantigen shock involves elevated TNF-? and TNF-?-induced hepatic apoptosis,"Faulkner L., Altmann D.M., Ellmerich S., Huhtaniemi I., Stamp G., Sriskandan S.",1073449X,American Journal of Respiratory and Critical Care Medicine,176,5,0,0,3,3,1,4
2007,"Human Chorionic Gonadotropin (hCG) up-regulates wnt5b and wnt7b in the mammary gland, and hCG? transgenic female mice present with mammary gland tumors exhibiting characteristics of the Wnt/?-catenin pathway activation","Kuorelahti A., Rulli S., Huhtaniemi I., Poutanen M.",137227,Endocrinology,148,8,0,0,1,1,1,2
2007,Effect of bisphenol A on human chorionic gonadotrophin-stimulated gene expression of cultured mouse Leydig tumour cells,"Takamiya M., Lambard S., Huhtaniemi I.T.",8906238,Reproductive Toxicology,24,2,0,0,0,0,0,0
2007,Male pheromone-stimulated neurogenesis in the adult female brain: Possible role in mating behavior,"Mak G.K., Enwere E.K., Gregg C., Pakarainen T., Poutanen M., Huhtaniemi I., Weiss S.",10976256,Nature Neuroscience,10,8,0,2,13,15,13,28
2007,"Bfk, a novel member of the Bcl2 gene family, is highly expressed in principal cells of the mouse epididymis and demonstrates a predominant nuclear localization","Pujianto D.A., Damdimopoulos A.E., Sipila P., Jalkanen J., Huhtaniemi I., Poutanen M.",137227,Endocrinology,148,7,0,0,1,1,0,1
2007,Role of central nervous system and ovarian insulin receptor substrate 2 signaling in female reproductive function in the mouse,"Neganova I., Bloom S.R., Franks S., Huhtaniemi I., Hardy K., Withers D.J., Al-Qassab H., Heffron H., Selman C., Choudhury A.I., Lingard S.J., Diakonov I., Patterson M., Ghatei M.",63363,Biology of Reproduction,76,6,0,1,0,1,2,3
2007,Assisted large fragment insertion by Red/ET-recombination (ALFIRE) - An alternative and enhanced method for large fragment recombineering,"Rivero-Muller A., Lajic S., Huhtaniemi I.",3051048,Nucleic Acids Research,35,10,0,0,2,2,2,4
2007,Use of hecate-chorionic gonadotropin ? conjugate in therapy of lutenizing hormone receptor expressing gonadal somatic cell tumors,"Rivero-Muller A., Vuorenoja S., Tuominen M., Waclawik A., Brokken L.J.S., Ziecik A.J., Huhtaniemi I., Rahman N.A.",3037207,Molecular and Cellular Endocrinology,269, 1-2,0,0,1,1,0,1
2007,Extragonadal LH/hCG action-Not yet time to rewrite textbooks,"Pakarainen T., Ahtiainen P., Zhang F.-P., Rulli S., Poutanen M., Huhtaniemi I.",3037207,Molecular and Cellular Endocrinology,269, 1-2,0,0,3,3,1,4
2007,"Adrenocortical tumorigenesis, luteinizing hormone receptor and transcription factors GATA-4 and GATA-6","Vuorenoja S., Rivero-Muller A., Kiiveri S., Bielinska M., Heikinheimo M., Wilson D.B., Huhtaniemi I.T., Rahman N.A.",3037207,Molecular and Cellular Endocrinology,269, 1-2,0,1,3,4,3,7
2007,GATA transcription factors in adrenal development and tumors,"Parviainen H., Kiiveri S., Bielinska M., Rahman N., Huhtaniemi I.T., Wilson D.B., Heikinheimo M.",3037207,Molecular and Cellular Endocrinology,265-266, ,0,1,2,3,3,6
2007,Phenotypic characterisation of mice with exaggerated and missing LH/hCG action,"Ahtiainen P., Rulli S., Pakarainen T., Zhang F.-P., Poutanen M., Huhtaniemi I.",3037207,Molecular and Cellular Endocrinology,260-262, ,0,0,3,3,2,5
2006,Angiogenic activity of human chorionic gonadotropin through LH receptor activation on endothelial and epithelial cells of the endometrium.,"Berndt S., Corvol P., van den Brule F., Frankenne F., Poutanen M., Huhtaniemi I., Geenen V., Noel A., Foidart J.M., Perrier d'Hauterive S., Blacher S., Pequeux C., Lorquet S., Munaut C., Applanat M., Herve M.A., Lamande N.",15306860,The FASEB journal : official publication of the Federation of American Societies for Experimental Biology,20,14,0,2,3,5,0,5
2006,"Human homologs of the putative G protein-coupled membrane progestin receptors (mPR?, ?, and ?) localize to the endoplasmic reticulum and are not activated by progesterone","Krietsch T., Fernandes M.S., Kero J., Losel R., Heyens M., Lam E.W.-F., Huhtaniemi I., Brosens J.J., Gellersen B.",8888809,Molecular Endocrinology,20,12,0,12,15,27,6,33
2006,Gonadotrophin resistance,"Huhtaniemi I., Alevizaki M.",1521690X,Best Practice and Research: Clinical Endocrinology and Metabolism,20,4,0,1,2,3,2,5
2006,Angiogenic activity of human chorionic gonadotropin through LH receptor activation on endothelial and epithelial cells of the endometrium,"Berndt S., Corvol P., Van Den Brule F., Frankenne F., Poutanen M., Huhtaniemi I., Geenen V., Noel A., Foidart J.-M., D'Hauterive S.P., Blacher S., Pequeux C., Lorquet S., Munaut C., Applanat M., Herve M.A., Lamande N.",8926638,FASEB Journal,20,14,0,3,0,3,3,6
2006,Novel epididymal protease inhibitors with Kazal or WAP family domain,"Jalkanen J., Kotimaki M., Huhtaniemi I., Poutanen M.",0006291X,Biochemical and Biophysical Research Communications,349,1,0,1,1,2,2,4
2006,Determination of androgen bioactivity in human serum samples using a recombinant cell based in vitro bioassay,"Roy P., Franks S., Read M., Huhtaniemi I.T.",9600760,Journal of Steroid Biochemistry and Molecular Biology,101,1,0,1,4,5,2,7
2006,Differential endocrine regulation of genes enriched in initial segment and distal caput of the mouse epididymis as revealed by genome-wide expression profiling,"Sipila P., Pujianto D.A., Shariatmadari R., Nikkila J., Lehtoranta M., Huhtaniemi I.T., Poutanen M.",63363,Biology of Reproduction,75,2,1,6,2,8,2,11
2006,Mutations along the pituitary-gonadal axis affecting sexual maturation: Novel information from transgenic and knockout mice,Huhtaniemi I.,3037207,Molecular and Cellular Endocrinology,254-255, ,0,2,3,5,1,6
2006,Genetically modified mouse models in studies of luteinising hormone action,"Huhtaniemi I., Ahtiainen P., Pakarainen T., Rulli S.B., Zhang F.-P., Poutanen M.",3037207,Molecular and Cellular Endocrinology,252, 1-2,0,0,1,1,1,2
