NumberAuthors	Author1	Author2	AuthorLast	AuthorPenUltimate
7	Munz Y.	 Moorthy K.	 Rockall T.	 Darzi A.	
3	Martin S.	 Murz Y.	 Darzi A.	NOAUTHOR	
3	Lo B.P.L.	 Darzi A.	 Yang G.-Z.	NOAUTHOR	
2	Rockall T.A.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	ElHelw M.A.	 Chung A.J.	 Yang G.-Z.	 Darzi A.	
6	Moorthy K.	 Jiwanji M.	 Darzi A.	 Munz Y.	
3	Bann S.D.	 Darzi A.	 Butler P.E.M.	NOAUTHOR	
4	Lee S.-L.	 Horkaew P.	 Yang G.-Z.	 Darzi A.	
7	Kneebone R.L.	 Nestel D.	 Darzi A.	 Munz Y.	
4	Moorthy K.	 Munz Y.	 Darzi A.	 Sarker S.K.	
4	Kumar B.D.	 Munz Y.	 Darzi A.	 Moorthy K.	
4	Ziprin P.	 Ridgway P.F.	 Darzi A.W.	 Peck D.H.	
5	Kneebone R.	 Nestel D.	 Darzi A.	 Kidd J.	
4	Ziprin P.	 Ridgway P.F.	 Darzi A.W.	 Peck D.H.	
2	Mahmood T.	 Darzi A.	NOAUTHOR	NOAUTHOR	
5	Bann S.	 Kwok K.-F.	 Wong J.	 Darzi A.	
4	Shah J.	 Buckley D.	 Darzi A.	 Frisby J.	
4	Shah J.	 Buckley D.	 Darzi A.	 Frisby J.	
5	Moorthy K.	 Munz Y.	 Darzi A.	 Bann S.	
4	Huber J.W.	 Taffinder N.	 Darzi A.	 Russell R.C.G.	
5	Moorthy K.	 Munz Y.	 Darzi A.	 Bello F.	
6	Mackay S.	 Datta V.	 Darzi A.	 Kneebone R.	
6	Casula R.P.	 Athanasiou T.	 Darzi A.	 Foale R.	
2	Shah J.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Bann S.	 Datta V.	 Darzi A.	 Khan M.	
2	Rockall T.A.	 Darzi A.W.	NOAUTHOR	NOAUTHOR	
5	Moorthy K.	 Smith S.	 Darzi A.	 Bann S.	
5	Ziprin P.	 Ridgway P.F.	 Darzi A.W.	 Peck D.H.	
2	Ridgway P.F.	 Darzi A.W.	NOAUTHOR	NOAUTHOR	
6	Shah J.	 Paul I.	 Darzi A.	 Frisby J.P.	
8	Bann S.	 Khan M.	 Darzi A.	 Rockall T.	
3	Bann S.D.	 Khan M.S.	 Darzi A.W.	NOAUTHOR	
4	Khan M.S.	 Bann S.D.	 Butler P.E.M.	 Darzi A.	
4	Aziz O.	 Sheikh A.	 Darzi A.	 Paraskeva P.	
6	Ridgway P.F.	 Ziprin P.	 Darzi A.W.	 Peck D.H.	
6	Agarwal T.	 Patel B.	 Hadjiminas D.J.	 Darzi A.	
2	Shah J.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Shah J.	 Montgomery B.	 Darzi A.	 Langley S.	
6	Haq A.	 Haji A.	 Darzi A.	 Ribeiro B.	
3	Kneebone R.L.	 Nestel D.	 Darzi A.	NOAUTHOR	
5	Mackay S.	 Datta V.	 Darzi A.	 Bassett P.	
4	Datta V.	 Mandalia M.	 Darzi A.	 Mackay S.	
3	Ridgway P.F.	 Shah J.	 Darzi A.W.	NOAUTHOR	
2	Ridgway P.F.	 Darzi A.W.	NOAUTHOR	NOAUTHOR	
8	Ridgway P.F.	 Ziprin P.	 Bouchier-Hayes D.	 Darzi A.W.	
6	Gould S.W.T.	 Martin S.	 Darzi A.	 Gedroyc W.	
4	Ziprin P.	 Ridgway P.F.	 Darzi A.W.	 Peck D.H.	
4	Datta V.	 Chang A.	 Darzi A.	 Mackay S.	
4	Khan M.S.	 Bann S.D.	 Butler P.E.M.	 Darzi A.	
6	Kneebone R.	 Kidd J.	 Darzi A.	 Paraskeva P.	
5	Mackay S.	 Morgan P.	 Darzi A.	 Chang A.	
5	Smith S.G.T.	 Torkington J.	 Darzi A.	 Taffinder N.J.	
6	Nduka C.C.	 Puttick M.	 Darzi A.	 Peck D.	
6	Datta V.	 Mandalia M.	 Darzi A.	 Cheshire N.	
7	Ridgway P.F.	 Smith A.	 Darzi A.W.	 Peck D.H.	
2	Darzi A.	 Mackay S.	NOAUTHOR	NOAUTHOR	
3	Shah J.	 Rockall T.	 Darzi A.	NOAUTHOR	
2	Darzi A.	 Mackay S.	NOAUTHOR	NOAUTHOR	
6	Gould S.W.T.	 Agarwal T.	 Darzi A.	 Gedroyc W.	
2	Ziprin P.	 Darzi A.W.	NOAUTHOR	NOAUTHOR	
5	Ziprin P.	 Darzi A.	 Hubbard S.C.	 Lemanski C.	
4	Yong L.	 Deane M.	 Darzi A.	 Monson J.R.T.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
2	Darzi A.	 Mackay S.	NOAUTHOR	NOAUTHOR	
4	Shah J.	 Mackay S.	 Darzi A.	 Vale J.	
2	Shah J.	 Darzi A.	NOAUTHOR	NOAUTHOR	
5	Shah J.	 Mackay S.	 Darzi A.	 Vale J.	
3	Shah J.	 Vale J.	 Darzi A.	NOAUTHOR	
4	Wong T.	 Darzi A.	 Schilling R.J.	 Foale R.A.	
4	Datta V.	 Mackay S.	 Darzi A.	 Mandalia M.	
4	Torkington J.	 Smith S.G.T.	 Darzi A.	 Rees B.I.	
4	Torkington J.	 Smith S.G.T.	 Darzi A.	 Rees B.	
5	Benoist S.	 Taffinder N.	 Darzi A.	 Chang A.	
3	Darzi A.	 Datta V.	 Mackay S.	NOAUTHOR	
6	Benoist S.	 Taffinder N.	 Darzi A.	 Chang A.	
6	Law P.A.	 Danin J.C.	 Gedroyc W.M.	 Darzi A.	
3	Shah J.	 Mackay S.	 Darzi A.	NOAUTHOR	
4	Passmore P.J.	 Nielsen C.F.	 Darzi A.	 Cosh W.J.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
4	Torkington J.	 Smith S.	 Darzi A.	 Rees B.	
2	Wan A.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Smith S.	 Torkington J.	 Darzi A.	 Taffinder N.	
5	Passmore P.J.	 Read O.J.	 Darzi A.	 Torkington J.	
5	Darzi A.	 Moorthy K.	 Sipponen J.	 Salo J.	
5	Sebire N.J.	 Osborn M.	 Goldin R.D.	 Farthing A.	
20	Litwin D.E.M.	 Medich D.S.	 Fowler D.L.	 Denis R.	
7	Lamb G.M.	 De Jode M.G.	 Gedroyc W.M.W.	 Darzi A.	
4	Torkington J.	 Smith S.G.T.	 Darzi A.	 Rees B.I.	
3	Wan A.C.T.	 Gul Y.	 Darzi A.	NOAUTHOR	
3	Smith S.	 Torkington J.	 Darzi A.	NOAUTHOR	
6	Gould S.W.T.	 Vaughan N.V.	 Darzi A.	 Goldin R.	
3	Gul Y.A.	 Wan A.C.T.	 Darzi A.	NOAUTHOR	
6	Wan A.C.T.	 Taylor P.	 Darzi A.	 Gould S.W.T.	
5	Taffinder N.	 Smith S.G.T.	 Darzi A.	 Russell R.C.G.	
3	Ziprin P.	 Puttick M.	 Darzi A.	NOAUTHOR	
3	Gul Y.A.	 Wan A.C.T.	 Darzi A.	NOAUTHOR	
6	Smith S.	 Wan A.	 Darzi A.	 Emery R.	
5	Taffinder N.J.	 Gould S.W.T.	 Darzi A.	 Taylor P.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
3	Gould S.W.T.	 Gedroyc W.	 Darzi A.	NOAUTHOR	
7	Puttick M.I.	 Scott-Coombes D.M.	 Darzi A.	 Mansfield A.O.	
3	Darzi A.	 Smith S.	 Taffinder N.	NOAUTHOR	
3	Akhtar Qureshi M.	 Darzi A.	 Leahy A.L.	NOAUTHOR	
5	Taffinder N.J.	 McManus I.C.	 Darzi A.	 Russell R.C.G.	
5	Nduka C.C.	 Poland N.	 Darzi A.	 Dye J.	
5	Taffinder N.	 Sutton C.	 Darzi A.	 McManus I.C.	
5	Mann D.V.	 Prout J.	 Darzi A.	 Gould S.	
3	Giordano P.	 Nduka C.	 Darzi A.	NOAUTHOR	
4	Mann D.V.	 Havranek E.	 Darzi A.	 Chan Y.C.	
5	Yong L.	 Nduka C.C.	 Darzi A.	 Mansfield A.O.	
5	Nduka C.C.	 Coates P.	 Darzi A.	 Mansfield A.O.	
5	Gould S.W.T.	 Lamb G.	 Darzi A.	 Gedroyc W.	
2	Gould S.W.T.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Lloyd J.	 Darzi A.	 Goldin R.D.	 Teare J.	
2	Gould S.W.T.	 Darzi A.	NOAUTHOR	NOAUTHOR	
3	Stansby G.	 Williams I.M.	 Darzi A.	NOAUTHOR	
2	Cheshire N.J.	 Darzi A.W.	NOAUTHOR	NOAUTHOR	
5	Darzi A.	 Soin B.	 Angelini L.	 Lirici N.M.	
2	Scott H.J.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Bradbury A.W.	 Chan Y.-C.	 Stansby G.	 Darzi A.	
2	Darzi A.	 Nduka C.C.	NOAUTHOR	NOAUTHOR	
2	Gould S.	 Darzi A.	NOAUTHOR	NOAUTHOR	
2	Nduka C.C.	 Darzi A.	NOAUTHOR	NOAUTHOR	
3	Gould S.W.	 Gedroyc W.	 Darzi A.	NOAUTHOR	
6	Gould S.	 Lamb G.	 Darzi A.	 Mansfield A.O.	
4	Paraskeva P.A.	 Cheshire N.	 Darzi A.W.	 Stansby G.	
4	Kelly D.	 Darzi A.	 Bouchier-Hayes D.	 Grace P.	
3	Direkze N.C.	 Hill A.D.K.	 Darzi A.	NOAUTHOR	
4	Giordano P.	 Monson J.R.T.	 Darzi A.	 Hartely J.E.	
5	Chambler A.F.W.	 Drew P.J.	 Monson J.R.T.	 Darzi A.	
3	Darzi A.	 Hunt N.	 Stacey R.	NOAUTHOR	
6	Hill A.D.K.	 Banwell P.E.	 Guillou P.J.	 Monson J.R.T.	
4	Darzi A.	 Bouchier-Hayes D.	 Nduka C.C.	 Menzies-Gow N.	
5	Darzi A.	 Lewis C.	 Monson J.R.T.	 Guillou P.J.	
6	Chia Y.W.	 Darzi A.	 Henry M.M.	 Jameson J.S.	
5	Darzi A.	 Henry M.M.	 Monson J.R.T.	 Shorvon P.	
3	Monson J.R.T.	 Hill A.D.K.	 Darzi A.	NOAUTHOR	
3	Nduka C.C.	 Menzies-Gow N.	 Darzi A.	NOAUTHOR	
3	Meire H.B.	 Darzi A.	 Lee N.	NOAUTHOR	
5	Qureshi A.	 Stacey R.J.	 Monson J.R.T.	 Carey P.D.	
3	Coleman J.	 Nduka C.C.	 Darzi A.	NOAUTHOR	
6	Qureshi A.	 Darzi A.	 Bouchier-Hayes D.	 Leahy A.L.	
3	Torkington J.	 Darzi A.	 Monson J.R.T.	NOAUTHOR	
5	Tanner A.G.	 Hartley J.E.	 Monson J.R.T.	 Rosin R.D.	
6	Cooper K.J.	 Hill A.D.	 Darzi A.	 Menzies-Gow N.	
6	Darzi A.	 Hunt N.	 Monson J.R.T.	 Guillou P.J.	
4	Nduka C.C.	 Monson J.R.T.	 Darzi A.	 Menzies-Gow N.	
4	Darzi A.	 Bouchier-Hayes D.	 Nduka C.C.	 Menzies-Gow N.	
7	Redmond H.P.	 Leahy A.L.	 Tanner W.A.	 Keane F.B.V.	
6	Darzi A.	 Geraghty J.G.	 Keane F.B.	 Tanner A.N.	
4	Banwell P.E.	 Hill A.D.K.	 Darzi A.	 Menzies-Gow N.	
2	Darzi A.	 Monson J.R.T.	NOAUTHOR	NOAUTHOR	
3	Paraskeva P.A.	 Nduka C.C.	 Darzi A.	NOAUTHOR	
3	Nassar A.	 Super P.A.	 Darzi A.	NOAUTHOR	
4	Nduka C.C.	 Menzies-Gow N.	 Darzi A.	 Monson J.R.T.	
4	Berman I.R.	 Hill A.D.K.	 Menzies-Gow N.	 Darzi A.	
4	Nduka C.C.	 Super P.A.	 Darzi A.W.	 Monson J.R.T.	
5	Jameson J.S.	 Speakman C.T.M.	 Henry M.M.	 Chia Y.W.	
3	Hill A.D.K.	 Menzies-Gow N.	 Darzi A.	NOAUTHOR	
4	Banwell P.E.	 Hill A.D.K.	 Darzi A.	 Menzies-Gow N.	
8	Notaras M.J.	 Wright D.	 Nduka C.C.	 Menzies-Gow N.	
6	Darzi A.	 Paraskeva P.A.	 Monson J.R.T.	 Guillou P.J.	
2	Nduka C.C.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Monson J.R.T.	 Darzi A.	 Guillou P.J.	 Carey P.D.	
4	Darzi A.	 Super P.	 Monson J.R.T.	 Guillou P.J.	
2	Hill A.D.K.	 Darzi A.	NOAUTHOR	NOAUTHOR	
3	Puttick M.I.	 Nduka C.C.	 Darzi A.	NOAUTHOR	
4	Darzi A.	 Carey P.	 Monson J.R.T.	 Menzies-Gow N.	
5	Hill A.D.K.	 Banwell P.E.	 Menzies-Gow N.	 Darzi A.	
6	Darzi A.	 Cheshire N.J.	 Monson J.R.T.	 Guillou P.J.	
4	Paraskeva P.A.	 Darzi A.	 Monson J.R.T.	 Guillou P.J.	
2	Darzi A.	 Monson J.R.T.	NOAUTHOR	NOAUTHOR	
4	Hill A.D.K.	 Darzi A.	 Riordan J.F.	 Menzies-Gow N.	
4	Darzi A.	 Goldin R.	 Monsonn J.R.T.	 Guillou P.J.	
5	Darzi A.	 Hill A.D.	 Monson J.R.	 Guillou P.J.	
6	Chambler A.F.W.	 Hill A.D.K.	 Darzi A.	 Menzies-Gow N.	
3	Guillou P.J.	 Darzi A.	 Monson J.R.T.	NOAUTHOR	
3	Hill A.D.K.	 Banwell P.B.	 Darzi A.	NOAUTHOR	
4	Darzi A.	 Menzies-Gow N.	 Silk D.	 Bartram C.	
2	Nduka C.C.	 Darzi A.	NOAUTHOR	NOAUTHOR	
4	Darzi A.	 Carey P.D.	 Monson J.R.T.	 Menzies-Gow N.	
8	Leahy A.L.	 Darzi A.	 Broe P.	 Bouchier-Hayes D.J.	
4	Monson J.R.T.	 Darzi A.	 Guillou P.J.	 Carey P.D.	
10	Grace P.	 Bouchier-Hayes D.	 Broe P.	 Lane B.	
6	Darzi A.	 Monson J.R.T.	 Keane F.B.V.	 Tanner W.A.	
4	Darzi A.	 Keane F.B.V.	 Lee S.H.	 Burhenne H.J.	
5	Donald J.J.	 Fache J.S.	 Keane F.B.V.	 Darzi A.	
8	Leahy A.L.	 McCollum P.T.	 Keane F.B.V.	 Tanner W.A.	
4	Darzi A.	 Murchan P.	 Prinz R.A.	 Keane F.B.V.	
5	Darzi A.	 El-Sayed E.	 Keane F.B.V.	 Tanner W.A.	
7	Leahy A.L.	 Darzi A.W.	 Keane F.B.V.	 Tanner W.A.	
4	Hamilton S.	 Leahy A.L.	 Keane F.B.V.	 Darzi A.	
5	Darzi A.	 Leahy A.	 Keane F.B.V.	 Tanner W.A.	
2	Darzi A.	 Keane F.B.V.	NOAUTHOR	NOAUTHOR	
2	Darzi A.	 Keane F.B.	NOAUTHOR	NOAUTHOR	
7	Darzi A.W.	 Monson J.R.T.	 Keane F.B.V.	 Tanner W.A.	
1	Darzi A.	NOAUTHOR	NOAUTHOR	NOAUTHOR	
6	Darzi A.	 Reid I.	 Keane F.B.V.	 Tanner W.A.	
2	Darzi A.	 Monson J.R.T.	NOAUTHOR	NOAUTHOR	
3	Darzi A.	 El-Sayed E.	 Keane F.B.V.	NOAUTHOR	
5	Darzi A.	 Monson J.R.T.	 Keane F.B.V.	 Tanner W.A.	
8	Ryan P.C.	 Darzi A.	 Butler M.R.	 Keane F.B.V.	
