Source Title	Print-ISSN
Acta Medica Saliniana	0350364X 
Acta Medica Scandinavica	16101
"Acta Medica Scandinavica, Supplement"	0365463X
Acta medicinae Okayama	16152
Acta Microbiologica Academiae Scientiarum Hungaricae	16187
Acta Microbiologica et Immunologica	12178950
Acta Microbiologica Hellenica	4389573
Acta Microbiologica Hungarica	2314622
Acta microbiologica Polonica. Series A: Microbiologia generalis	5677815
Acta microbiologica Polonica. Series B: Microbiologia applicata	5677823
Acta Microscopica	7984545
Acta Morphologica Academiae Scientiarum Hungaricae	16217
Acta Morphologica Hungarica	2365391
Acta Morphologica Neerlando-Scandinavica	16225
Acta Myologica	11282460
Acta Neerlandica morphologiae normalis et pathologicae	3654907
Acta Neonatologica Japonica	290386
Acta Neurochirurgica	16268
"Acta Neurochirurgica, Supplement"	651419
Acta Neurologica Belgica	3009009
Acta Neurologica Belgica	3009008
Acta neurologica et psychiatrica Belgica	16284
Acta Neurologica Scandinavica	16314
"Acta Neurologica Scandinavica, Supplement"	651427
Acta Neurologica Taiwanica	1028768X
Acta Neuropathologica	16322
Acta Neuropsychiatrica	9242708
Acta Obstetrica et Gynaecologica Japonica	16330
Acta Obstetrica y Ginecologica Hispano-Lusitana	2109832
Acta Obstetricia et Gynecologica Scandinavica	16349
"Acta Obstetricia et Gynecologica Scandinavica, Supplement"	3008835
Acta odontologica latinoamericana : AOL	3264815
Acta Odontologica Scandinavica	16357
Acta Oncologica	0284186X
"Acta Oncologica, Supplement"	11001704
Acta Ophthalmologica	0001639X
Acta Ophthalmologica	1755375X
Acta Ophthalmologica Scandinavica	13953907
"Acta Ophthalmologica Scandinavica, Supplement"	13953931
Acta Ophthalmologica. Supplement	651451
Acta Orthopaedica	17453674
Acta Orthopaedica Belgica	16462
Acta orthopaedica et traumatologica turcica	1017995X
Acta Orthopaedica Iugoslavica	3502309
Acta Orthopaedica Scandinavica	16470
"Acta Orthopaedica Scandinavica, Supplement"	3008827
Acta orthopaedica. Supplementum	17453690
Acta Ortopedica Brasileira	14137852
Acta Oto-Laryngologica	16489
"Acta Oto-Laryngologica, Supplement"	3655237
Acta Oto-Rhino-Laryngologica Belgica	16497
Acta Otorhinolaryngologica Italica	0392100X
Acta oto-rino-laringologica ibero-americana	16500
Acta Otorrinolaringologica Espanola	16519
Acta Paediatrica Academiae Scientiarum Hungaricae	16527
Acta Paediatrica Belgica	16535
Acta Paediatrica Hungarica	0231441X
Acta Paediatrica Japonica	3745600
Acta Paediatrica Scandinavica	0001656X
"Acta Paediatrica Scandinavica, Supplement"	3008843
Acta Paediatrica Sinica	16578
Acta Paediatrica Taiwanica	16088115
"Acta Paediatrica, International Journal of Paediatrics"	8035253
"Acta Paediatrica, International Journal of Paediatrics, Supplement"	8035326
Acta paediatrica. Supplementum	
Acta Paedopsychiatrica	16586
Acta pathologica et microbiologica Scandinavica	3655555
Acta Pathologica et Microbiologica Scandinavica - Section A Pathology	3654184
Acta Pathologica et Microbiologica Scandinavica - Section B Microbiology and Immunology	3655563
Acta Pathologica et Microbiologica Scandinavica - Section C Immunology	3041328
Acta Pathologica Japonica	16632
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section A Pathology	1080164
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section B Microbiology	1080180
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section C Immunology	1080202
Acta Pathologica Microbiologica et Immunologica Scandinavica - Supplementum	0903465X
Acta Paulista de Enfermagem	1032100
Acta Pediatrica Espanola	16640
Acta Pharmacologica Sinica	16714083
Acta physiologica et pharmacologica Neerlandica	16748
Acta Physiologica Hungarica	0231424X
Acta physiotherapica et rheumatologica Belgica	7702728
