Sourcerecord id 	ISSN	E-ISSN	CSA Source Title (publications from CSA databases only available for entitled users)	CSA databases to which CSA-unique journals belong (see second tab for explanation of abbreviations)	Added since last version	Source Type	Active or Inactive	Coverage	"Open Acces status, i.e., registered in DOAJ (www.doaj.org)"	Title history indication	Related title 1	Related title 2	Related title 3	Related title 4	Publisher's Name 	Country 	Region	Classification Top Level	Classification (Primary) Level 1	Classification 2	Classification 3	Classification 4	Classification 5						
5700168544	03085759	1740469X	Adoption & Fostering	"CSASSA, CSASA"		Journal	Active	"2001-2005, 1997 "	Not OA						British Association for Adoption & Fostering	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Psychology	Social Sciences	Health Professions								
5900152927			Ads International	"CSAART, CSADAA"		Journal	Inactive	1993-1998 	Not OA									Social Sciences	Arts and Humanities										
5700170922	08991995		Adult Residential Care Journal	"CSASSA, CSALLB, CSASA"		Journal	Inactive	1989-1996 	Not OA						Human Sciences Press	United States	North America	Social Sciences	Psychology	Arts and Humanities	Social Sciences	Health Professions							
5600156556	15278565		Advances in Social Work	"CSASSA, CSASA"		Journal	Active	2000-2004 	Not OA						Indiana University School of Social Work	United States	North America	Social Sciences	Psychology	Social Sciences	Health Professions								
14000156119	10937099 		Advancing Women in Leadership	"CSASSA, CSAWPS"		Journal	Active	2007-ongoing	Not OA						"Advancing Women, Gretchen Glasscock"	United States	North America	Social Sciences	Social Sciences										
12100156127	16697588 		AdVersuS	CSALLB		Journal	Active	2006-ongoing 	Not OA						"Centro de Investigacion Semiotica ""Ferruccio Rossi-Landi"" (CRS)"	Spain	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
5900152955	09282564		Affiche	"CSAART, CSADAA"		Journal	Inactive	1992-1996 	Not OA						Wabnitz Editions	Netherlands	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
6500153134	14725843 	14725851 	African Identities	CSABHI		Journal	Active	2005-ongoing	Not OA						Carfax Publishing Ltd.	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
5600154224	0117272X		African Journal of International Affairs and Development	"CSAWPS, CSASA"		Journal	Inactive	"1998-2003, 1995 "	Not OA						College press Publishers	Nigeria	"Middle East, Africa"	Social Sciences	Psychology	Social Sciences									
19700170054	19960832 		African Journal of Political Science and International Relations	CSAWPS		Journal	Active	2007-ongoing 	Not OA									Social Sciences	Social Sciences										
5700168892	0954416X		African Languages and Culture	"CSALLB, CSASA"		Journal	Inactive	1988-1997 	Not OA	Continued as	Journal of African Cultural Studies				University of London	United Kingdom	Western Europe (incl. Israel)	Life Sciences	"Biochemistry, Genetics and Molecular Biology"	Psychology	Arts and Humanities	Social Sciences							
5600155255	13696823	14692864	African Philosophy	"CSALLB, CSASA"		Journal	Inactive	1999-2000 	Not OA	Continued as	Philosophia Africana				Carfax Publishing Ltd.	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Psychology	Arts and Humanities	Social Sciences								
5600152971	10274332		African Sociological Review/Revue Africaine de Sociologie	"CSASSA, CSALLB, CSAWPS, CSASA"		Journal	Active	1997-2005 	Not OA						Council for the Development of Economic and Social Research in Africa	Senegal	"Middle East, Africa"	Social Sciences	Psychology	Environmental Science	Arts and Humanities	Social Sciences	Health Professions						
5700164024	0304615X		Africanus	"CSASSA, CSAWPS, CSASA"		Journal	Active	2002-2005 	Not OA						Universiteit van Suid-Afrika	South Africa	"Middle East, Africa"	Social Sciences	Social Sciences	Health Professions									
5800207541	00020427		Afrika und Uebersee	CSALLB		Journal	Active	"2002-2005, 1996-2000 "	Not OA						Dietrich Reimer Verlag GmbH	Germany	Western Europe (incl. Israel)	Life Sciences	"Biochemistry, Genetics and Molecular Biology"	Psychology	Arts and Humanities	Social Sciences							
5700180688	0178725X		Afrikanistische Arbeitspapiere	"CSALLB, CSASA"		Journal	Inactive	1987-2002 	Not OA						Kolner Institut fur Afrikanistik	Germany	Western Europe (incl. Israel)	Life Sciences	"Biochemistry, Genetics and Molecular Biology"	Psychology	Social Sciences	Computer Science	Arts and Humanities						
6000152798	14654253		Afterall	CSAART		Journal	Active	1998-ongoing 	Not OA						Saint Martins College	United Kingdom	Western Europe (incl. Israel)	Social Sciences	Arts and Humanities										
5900153323	03007472		Afterimage	CSAART		Journal	Active	1984-ongoing 	Not OA						Visual Studies Workshop	United States	North America	Social Sciences	Arts and Humanities										
5700160353	0002094X		Aggiornamenti Sociali	"CSASSA, CSAWPS, CSASA"		Journal	Active	"2001-ongoing, 1974-1974 "	Not OA						Annali De Medicina E Chirurgia	Italy	Western Europe (incl. Israel)	Social Sciences	Psychology	Environmental Science	Social Sciences	Health Professions							
5900152948	07365322		AIGA Journal of Graphic Design	"CSAART, CSADAA"		Journal	Inactive	1987-2000 	Not OA	Continued as	Trace: AIGA Journal of Design				American Institute of Graphic Arts	United States	North America	Social Sciences	Arts and Humanities										
