Author	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Dr Chung, A.J.	Chung, Dr Adrian James	16.0	2.0	5.0	20.0	55.0	0.0017268825374498	0.00237903355698427	0.00520092710581891	2.91277426578627E-6	0.345454545454545	31.0	0.389880361536894	8.7961425671103	0.799649324282755	0.0	0.0	6.0	         4.00	            3	            3	            4	            5	            5	      4.00	         3	         3	         4	         5	         5	        4	        0	        5	        0	        3	       12	         0.33	          0.00	         0.42	          0.00	           0.25	           1.00	         0	                 0.00	         4	         0	         5	         0	         3	        12	          0.33	           0.00	          0.42	           0.00	            0.25	            1.00	               1	               0	               5	               0	               3	               9	                0.08	                 0.00	                0.42	                 0.00	                  0.25	                  0.75	              3	              0	              0	              0	              0	              3	               0.25	                0.00	               0.00	                0.00	                 0.00	                 0.25
Dr Chung, A.J.	Chung, Dr Adrian James	16.0	3.0	5.0	30.0	73.0	0.00113365545943276	1.70990815554306E-4	0.00434504474995296	2.01071484696148E-7	0.555555555555555	23.0	0.307427065532581	6.37760210803689	0.708622456448543	0.0	0.0	6.0	         3.83	            2	            3	            4	            5	            5	      3.83	         2	         3	         4	         5	         5	        4	        0	       10	        1	        3	       18	         0.22	          0.00	         0.56	          0.06	           0.17	           1.00	         0	                 0.00	         4	         0	        10	         1	         3	        18	          0.22	           0.00	          0.56	           0.06	            0.17	            1.00	               2	               0	              10	               1	               3	              16	                0.11	                 0.00	                0.56	                 0.06	                  0.17	                  0.89	              2	              0	              0	              0	              0	              2	               0.11	                0.00	               0.00	                0.00	                 0.00	                 0.11
Dr Emerson, M.	Emerson, Dr Michael	35.0	1.0	1.0	1.0	21.0	0.00842966361977086	0.00368527266521676	0.00897237215067043	0.0075723560961862	0.490118577075098	23.0	0.0933821866094824	16.2020186335403	0.704435592762624	0.0	0.0	4.0	             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
Dr Emerson, M.	Emerson, Dr Michael	35.0	2.0	6.0	6.0	214.0	0.00439570100441768	0.00858726211229026	0.00486759646918588	2.50881023937536E-8	0.428571428571428	47.0	0.18907535070352	19.4521276595744	0.694718844984802	0.0	0.0	4.0	        12.50	           11	           11	           12	           16	           16	     12.50	        11	        11	        12	        16	        16	        1	        0	        0	        0	        3	        4	         0.25	          0.00	         0.00	          0.00	           0.75	           1.00	         0	                 0.00	         1	         0	         0	         0	         3	         4	          0.25	           0.00	          0.00	           0.00	            0.75	            1.00	               1	               0	               0	               0	               3	               4	                0.25	                 0.00	                0.00	                 0.00	                  0.75	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Emerson, M.	Emerson, Dr Michael	35.0	3.0	8.0	11.0	249.0	0.00390481324915731	0.0197310733619136	0.00401063666670686	1.06594879255931E-7	0.275268817204301	37.0	0.108229936303738	24.2972972972972	0.783783783783783	0.0	0.0	4.0	        10.33	            7	            7	           12	           12	           12	     10.33	         7	         7	        12	        12	        12	        0	        0	        0	        0	        3	        3	         0.00	          0.00	         0.00	          0.00	           1.00	           1.00	         0	                 0.00	         0	         0	         0	         0	         3	         3	          0.00	           0.00	          0.00	           0.00	            1.00	            1.00	               0	               0	               0	               0	               3	               3	                0.00	                 0.00	                0.00	                 0.00	                  1.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Sir Newman Taylor, A.J.	Newman Taylor, Professor Sir Anthony J CBE, FMedSci	454.0	1.0	9.0	12.0	410.0	0.0190583699229602	0.0313348537201244	0.00963035292772324	0.0200648858152789	0.274509803921568	107.0	0.0520620560454958	44.0498084402391	0.847111700773829	3.0	1.0	4.0	
Professor Sir Newman Taylor, A.J.	Newman Taylor, Professor Sir Anthony J CBE, FMedSci	454.0	2.0	13.0	23.0	659.0	0.0164838787665662	0.139231474825936	0.00640199488252447	0.00117203430968049	0.377106227106227	76.0	0.129610122783424	23.2758145363408	0.775860484544695	3.0	1.0	4.0	
Professor Sir Newman Taylor, A.J.	Newman Taylor, Professor Sir Anthony J CBE, FMedSci	454.0	3.0	15.0	30.0	717.0	0.00365288981372781	0.00245581410630199	0.00429200161577786	5.73612144911975E-6	0.253694581280788	42.0	0.164720865764235	3.46984126984127	0.165230536659108	3.0	1.0	4.0	
Professor Nutt, D.J.	Nutt, Professor David John MRCP MRCPsych FRCPsych FMedSci	457.0	1.0	28.0	86.0	2188.0	0.0604736737940083	0.305173733757656	0.0102783525832602	0.0340934188672766	0.0606799704360679	334.0	0.03422486923346	159.74065080934	0.968125156420245	3.0	1.0	3.0	
Professor Nutt, D.J.	Nutt, Professor David John MRCP MRCPsych FRCPsych FMedSci	457.0	2.0	34.0	167.0	3575.0	0.0235483982379518	0.328349760956356	0.00595702457762907	0.00115829812646891	0.054496644295302	250.0	0.0397618744168634	144.729523809523	0.964863492063491	3.0	1.0	3.0	
Professor Nutt, D.J.	Nutt, Professor David John MRCP MRCPsych FRCPsych FMedSci	457.0	3.0	35.0	244.0	4107.0	0.0230509943417996	0.262275830124843	0.00504930736839163	2.2674523995248E-5	0.0986008526992133	304.0	0.025008430711977	168.774006037821	0.922262328075528	3.0	1.0	3.0	
Professor Openshaw, P.J.M.	Openshaw, Professor Peter John Morland MB BS PhD FMedSci	458.0	1.0	15.0	25.0	886.0	0.0208909054924756	0.074812971596136	0.00965043163459566	0.0188952527800974	0.172932330827067	93.0	0.041436477900444	52.7916450536892	0.926169211468232	3.0	1.0	4.0	
Professor Openshaw, P.J.M.	Openshaw, Professor Peter John Morland MB BS PhD FMedSci	458.0	2.0	21.0	47.0	1460.0	0.00737849811455824	0.0572499379571519	0.00571046746988657	1.54072610598588E-6	0.12118408880666	73.0	0.0939121511329714	42.7664383561644	0.909924220343923	3.0	1.0	4.0	
Professor Openshaw, P.J.M.	Openshaw, Professor Peter John Morland MB BS PhD FMedSci	458.0	3.0	22.0	58.0	1520.0	0.00365288981372781	0.0292813067697004	0.00442421071192923	7.86245954748818E-7	0.194581280788177	44.0	0.104315989967222	24.778409090909	0.85442789968652	3.0	1.0	4.0	
