File	Author	ListedPapers	Papers	Warnings	Errors	General	Life Sciences	Social Sciences	Physical Sciences	Health Sciences	Unknown	Uniformity
55	Dr Boardman, J.P.	32	31	0	0	 0.000	0.1613	 0.000	0.1613	0.5806	0.09677	0.3985
56	Boily, M.C.	52	51	0	0	0.03922	0.05163	0.04248	0.009804	0.7784	0.07843	0.6182
57	Professor Boobis, A.R.	325	324	0	0	0.003086	0.6307	 0.000	0.06193	0.2888	0.01543	0.4853
58	Booton, P.	7	6	0	0	 0.000	 0.000	 0.000	 0.000	 1.000	 0.000	 1.000
59	Bottle, R.A.	54	53	0	0	 0.000	 0.000	0.01415	0.01415	0.5755	0.3962	0.4886
60	Botto, M.B.	128	127	0	0	0.03937	0.4055	 0.000	 0.000	0.5551	 0.000	0.4741
61	Dr Bou Gharios, G.	59	58	0	0	0.03448	0.5977	 0.000	 0.000	0.3506	0.01724	0.4816
62	Boyle, R.J.	42	41	0	0	 0.000	0.09350	0.02033	0.01220	0.8008	0.07317	0.6560
63	Dr Boyton, R.J.	32	31	0	0	 0.000	0.3118	 0.000	 0.000	0.5591	0.1290	0.4265
64	Dr Braga, V.	44	43	0	0	 0.000	0.6899	 0.000	 0.000	0.2171	0.09302	0.5318
65	Brand, N.J.	39	38	0	0	0.02632	0.5921	 0.000	 0.000	0.3816	 0.000	0.4969
66	Brennan, F.M.	170	169	0	0	0.01775	0.2376	 0.000	 0.000	0.3896	0.3550	0.3346
67	Briggs, D.J.	70	69	1	0	 0.000	0.09179	0.1510	0.3720	0.3418	0.04348	0.2883
68	Dr Brogan, C.M.O.	7	6	0	0	 0.000	0.1111	 0.000	 0.000	0.8889	 0.000	0.8025
69	Bronstein, A.M.	247	246	0	0	 0.000	0.3919	0.01491	 0.000	0.5891	0.004065	0.5009
70	Brooks, D.J.	466	465	0	0	 0.000	0.2343	0.002509	0.05462	0.3365	0.3720	0.3096
71	Professor Brosens, J.J.	81	80	0	0	0.02500	0.3804	0.002500	0.01875	0.5734	 0.000	0.4744
72	Brown, S.C.	80	79	0	0	0.02532	0.4006	 0.000	0.003165	0.5582	0.01266	0.4729
73	Bubici, C.	18	17	0	0	 0.000	0.8480	 0.000	 0.000	0.1520	 0.000	0.7423
74	Buluwela, L.	32	31	0	0	 0.000	0.7312	 0.000	 0.000	0.2366	0.03226	0.5916
75	Bundy, J.G.	33	32	0	0	 0.000	0.5224	 0.000	0.2578	0.1885	0.03125	0.3759
76	Burney, P.G.J.	221	220	0	0	0.004545	0.1220	 0.000	0.01136	0.8485	0.01364	0.7351
77	Professor Bush, A.	371	370	0	0	 0.000	0.03198	0.0009009	0.002703	0.9347	0.02973	0.8756
78	Dr Butt, S.J.B.	16	15	0	0	0.2000	0.7667	 0.000	 0.000	0.03333	 0.000	0.6289
