Author	Period	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Dr Blair, M.E.	2	Blair, Dr Mitchel Eliot (Mitch)	256.0	2.0	5.0	12.0	184.0	6.27957286345382E-4	0.0	4.63195865905587E-6	4.31346028243378E-4	1.0	4.0	0.765625	1.0	0.25	2.0	1.0	3.0	         2.67	            1	            1	            2	            5	            5	      3.50	         2	         2	         5	         5	         5	        2	        0	        1	        0	        0	        3	         0.67	          0.00	         0.33	          0.00	           0.00	           1.00	         1	                 0.33	         1	         0	         1	         0	         0	         2	          0.33	           0.00	          0.33	           0.00	            0.00	            0.67	               0	               0	               1	               0	               0	               1	                0.00	                 0.00	                0.33	                 0.00	                  0.00	                  0.33	              1	              0	              0	              0	              0	              1	               0.33	                0.00	               0.00	                0.00	                 0.00	                 0.33
Dr Blair, M.E.	3	Blair, Dr Mitchel Eliot (Mitch)	256.0	3.0	6.0	23.0	200.0	0.0148634826903407	0.00250057390246684	0.00450255534096369	4.4791318784435E-5	0.983050847457627	118.0	0.0325223941241498	6.36590229312085	0.0539483245179733	2.0	1.0	3.0	         3.91	            1	            1	            3	            7	            8	      5.00	         2	         3	         6	         7	         8	        5	        3	        1	        0	        2	       11	         0.45	          0.27	         0.09	          0.00	           0.18	           1.00	         3	                 0.27	         2	         3	         1	         0	         2	         8	          0.18	           0.27	          0.09	           0.00	            0.18	            0.73	               2	               3	               1	               0	               2	               8	                0.18	                 0.27	                0.09	                 0.00	                  0.18	                  0.73	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Blair, M.E.	4	
Dr Blakemore, A.I.F.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         6.77	            3	            4	            7	            8	           14	      6.77	         3	         4	         7	         8	        14	        8	        3	        5	        3	        7	       26	         0.31	          0.12	         0.19	          0.12	           0.27	           1.00	         0	                 0.00	         8	         3	         5	         3	         7	        26	          0.31	           0.12	          0.19	           0.12	            0.27	            1.00	               7	               3	               5	               3	               7	              25	                0.27	                 0.12	                0.19	                 0.12	                  0.27	                  0.96	              1	              0	              0	              0	              0	              1	               0.04	                0.00	               0.00	                0.00	                 0.00	                 0.04
Dr Blakemore, A.I.F.	1	Blakemore, Dr Alexandra Ida Francesca (Alex)	124.0	1.0	4.0	4.0	176.0	0.0036650711390308	0.0123165343097542	0.00730211057900066	5.39769331897738E-4	0.511111111111111	18.0	0.343717013818994	6.56944444444444	0.656944444444444	1.0	0.0	5.0	         5.50	            5	            5	            6	            6	            6	      5.50	         5	         5	         6	         6	         6	        0	        3	        0	        1	        0	        4	         0.00	          0.75	         0.00	          0.25	           0.00	           1.00	         0	                 0.00	         0	         3	         0	         1	         0	         4	          0.00	           0.75	          0.00	           0.25	            0.00	            1.00	               0	               3	               0	               1	               0	               4	                0.00	                 0.75	                0.00	                 0.25	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Blakemore, A.I.F.	2	Blakemore, Dr Alexandra Ida Francesca (Alex)	124.0	2.0	8.0	10.0	269.0	0.00235483982379518	0.0334397358400376	0.00510023345106735	5.78514399187789E-6	0.161904761904761	15.0	0.152497734307952	12.7894736842105	0.852631578947368	1.0	0.0	5.0	         4.00	            3	            3	            4	            5	            5	      4.00	         3	         3	         4	         5	         5	        0	        4	        1	        1	        0	        6	         0.00	          0.67	         0.17	          0.17	           0.00	           1.00	         0	                 0.00	         0	         4	         1	         1	         0	         6	          0.00	           0.67	          0.17	           0.17	            0.00	            1.00	               0	               4	               1	               1	               0	               6	                0.00	                 0.67	                0.17	                 0.17	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Blakemore, A.I.F.	3	Blakemore, Dr Alexandra Ida Francesca (Alex)	124.0	3.0	13.0	26.0	702.0	0.0180125256332095	0.0737490346697953	0.00529633115220539	5.03861668247811E-4	0.225746084901014	380.0	0.0325178034931109	125.400619523164	0.876927409252896	1.0	0.0	5.0	        14.40	            2	            4	           10	           20	           41	     14.40	         2	         4	        10	        20	        41	        2	        5	        1	        1	        6	       15	         0.13	          0.33	         0.07	          0.07	           0.40	           1.00	         0	                 0.00	         2	         5	         1	         1	         6	        15	          0.13	           0.33	          0.07	           0.07	            0.40	            1.00	               1	               5	               1	               1	               6	              14	                0.07	                 0.33	                0.07	                 0.07	                  0.40	                  0.93	              1	              0	              0	              0	              0	              1	               0.07	                0.00	               0.00	                0.00	                 0.00	                 0.07
Dr Blakemore, A.I.F.	4	
Professor Blane, D.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         3.49	            1	            3	            3	            5	            8	      3.91	         2	         3	         3	         5	         8	       18	       11	        4	        2	        6	       41	         0.44	          0.27	         0.10	          0.05	           0.15	           1.00	         6	                 0.15	        12	        11	         4	         2	         6	        35	          0.29	           0.27	          0.10	           0.05	            0.15	            0.85	               9	               9	               3	               2	               6	              29	                0.22	                 0.22	                0.07	                 0.05	                  0.15	                  0.71	              3	              2	              1	              0	              0	              6	               0.07	                0.05	               0.02	                0.00	                 0.00	                 0.15
Professor Blane, D.	1	Blane, Professor David	337.0	1.0	6.0	14.0	136.0	 	 	 	 	 	 	 	 	 	3.0	0.0	5.0	         2.71	            1	            1	            3	            4	            8	      4.00	         2	         3	         4	         5	         8	        9	        2	        2	        0	        1	       14	         0.64	          0.14	         0.14	          0.00	           0.07	           1.00	         6	                 0.43	         3	         2	         2	         0	         1	         8	          0.21	           0.14	          0.14	           0.00	            0.07	            0.57	               2	               2	               2	               0	               1	               7	                0.14	                 0.14	                0.14	                 0.00	                  0.07	                  0.50	              1	              0	              0	              0	              0	              1	               0.07	                0.00	               0.00	                0.00	                 0.00	                 0.07
Professor Blane, D.	2	Blane, Professor David	337.0	2.0	11.0	36.0	436.0	0.00690753014979921	0.0649924020006782	0.00532744033105441	6.60165668242027E-8	0.0961945031712473	69.0	0.075363898915166	40.8393719806763	0.928167545015371	3.0	0.0	5.0	         4.27	            1	            4	            5	            5	            7	      5.00	         3	         4	         5	         6	         7	        5	        9	        1	        4	        3	       22	         0.23	          0.41	         0.05	          0.18	           0.14	           1.00	         4	                 0.18	         1	         9	         1	         4	         3	        18	          0.05	           0.41	          0.05	           0.18	            0.14	            0.82	               0	               9	               0	               4	               3	              16	                0.00	                 0.41	                0.00	                 0.18	                  0.14	                  0.73	              1	              0	              1	              0	              0	              2	               0.05	                0.00	               0.05	                0.00	                 0.00	                 0.09
Professor Blane, D.	3	Blane, Professor David	337.0	3.0	11.0	48.0	469.0	0.00214134920115078	0.00618308202791342	0.00413822511774491	4.92778460352203E-6	0.294117647058823	40.0	0.191724510703678	13.6566666666666	0.803333333333333	3.0	0.0	5.0	         4.33	            2	            3	            4	            5	            8	      4.33	         2	         3	         4	         5	         8	        3	        9	        0	        0	        0	       12	         0.25	          0.75	         0.00	          0.00	           0.00	           1.00	         0	                 0.00	         3	         9	         0	         0	         0	        12	          0.25	           0.75	          0.00	           0.00	            0.00	            1.00	               2	               9	               0	               0	               0	              11	                0.17	                 0.75	                0.00	                 0.00	                  0.00	                  0.92	              1	              0	              0	              0	              0	              1	               0.08	                0.00	               0.00	                0.00	                 0.00	                 0.08
Professor Blane, D.	4	
Professor Bloom, S.R.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         4.75	            1	            3	            4	            6	           18	      4.81	         2	         3	         4	         6	        18	      120	      506	      114	      145	       65	      950	         0.13	          0.53	         0.12	          0.15	           0.07	           1.00	        14	                 0.01	       106	       506	       114	       145	        65	       936	          0.11	           0.53	          0.12	           0.15	            0.07	            0.99	              38	             489	              91	             143	              65	             826	                0.04	                 0.51	                0.10	                 0.15	                  0.07	                  0.87	             68	             17	             23	              2	              0	            110	               0.07	                0.02	               0.02	                0.00	                 0.00	                 0.12
Professor Bloom, S.R.	1	Bloom, Professor Stephen Robert FMedSci (Steve)	338.0	1.0	36.0	67.0	6058.0	0.0784325223752593	0.254168858060611	0.0104345180292167	0.0584541393609819	0.173445658373919	662.0	0.0482260119781733	193.33308362907	0.90342562443491	3.0	1.0	3.0	         7.36	            2	            5	            7	           10	           14	      7.36	         2	         5	         7	        10	        14	        0	       38	       10	       11	        8	       67	         0.00	          0.57	         0.15	          0.16	           0.12	           1.00	         0	                 0.00	         0	        38	        10	        11	         8	        67	          0.00	           0.57	          0.15	           0.16	            0.12	            1.00	               0	              37	              10	              11	               8	              66	                0.00	                 0.55	                0.15	                 0.16	                  0.12	                  0.99	              0	              1	              0	              0	              0	              1	               0.00	                0.01	               0.00	                0.00	                 0.00	                 0.01
Professor Bloom, S.R.	2	Bloom, Professor Stephen Robert FMedSci (Steve)	338.0	2.0	52.0	162.0	10163.0	0.0279440992423695	0.29137274990044	0.00653186410144423	5.91304458530864E-4	0.069637529359487	837.0	0.0874703529710137	171.274228899886	0.962214769100485	3.0	1.0	3.0	         6.24	            2	            3	            7	            9	           13	      6.24	         2	         3	         7	         9	        13	        2	       62	        6	       10	       18	       98	         0.02	          0.63	         0.06	          0.10	           0.18	           1.00	         0	                 0.00	         2	        62	         6	        10	        18	        98	          0.02	           0.63	          0.06	           0.10	            0.18	            1.00	               2	              61	               6	              10	              18	              97	                0.02	                 0.62	                0.06	                 0.10	                  0.18	                  0.99	              0	              1	              0	              0	              0	              1	               0.00	                0.01	               0.00	                0.00	                 0.00	                 0.01
Professor Bloom, S.R.	3	Bloom, Professor Stephen Robert FMedSci (Steve)	338.0	3.0	52.0	217.0	10660.0	0.0245625349543766	0.328873306101963	0.00538995800969184	5.22278588227622E-5	0.0571504097277293	600.0	0.069430954189461	188.277589527208	0.96552610013953	3.0	1.0	3.0	         6.58	            1	            4	            7	            9	           14	      6.69	         2	         4	         7	         9	        14	        2	       26	        5	       13	        7	       53	         0.04	          0.49	         0.09	          0.25	           0.13	           1.00	         1	                 0.02	         1	        26	         5	        13	         7	        52	          0.02	           0.49	          0.09	           0.25	            0.13	            0.98	               0	              24	               5	              13	               7	              49	                0.00	                 0.45	                0.09	                 0.25	                  0.13	                  0.92	              1	              2	              0	              0	              0	              3	               0.02	                0.04	               0.00	                0.00	                 0.00	                 0.06
Professor Bloom, S.R.	4	
Dr Boardman, J.P.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         7.50	            2	            2	           13	           13	           13	      7.50	         2	         2	        13	        13	        13	        0	        1	        0	        0	        1	        2	         0.00	          0.50	         0.00	          0.00	           0.50	           1.00	         0	                 0.00	         0	         1	         0	         0	         1	         2	          0.00	           0.50	          0.00	           0.00	            0.50	            1.00	               0	               1	               0	               0	               1	               2	                0.00	                 0.50	                0.00	                 0.00	                  0.50	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Boardman, J.P.	1	Boardman, Dr James Peter	125.0	1.0	2.0	3.0	17.0	0.00623062093635237	9.03065005304282E-4	0.00863154761207014	0.00526309354362819	0.470588235294117	26.0	0.130197170596393	12.3433177117	0.726077512452944	1.0	1.0	1.0	         7.00	            6	            6	            6	            9	            9	      7.00	         6	         6	         6	         9	         9	        2	        0	        1	        0	        0	        3	         0.67	          0.00	         0.33	          0.00	           0.00	           1.00	         0	                 0.00	         2	         0	         1	         0	         0	         3	          0.67	           0.00	          0.33	           0.00	            0.00	            1.00	               2	               0	               1	               0	               0	               3	                0.67	                 0.00	                0.33	                 0.00	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Boardman, J.P.	2	Boardman, Dr James Peter	125.0	2.0	8.0	14.0	327.0	0.00439570100441768	0.00192913439820565	0.00573618172808153	4.8844248610962E-8	0.486772486772486	120.0	0.141098202258288	21.7020438311688	0.775072993970315	1.0	1.0	1.0	         9.25	            2	            8	            9	           11	           15	      9.25	         2	         8	         9	        11	        15	        2	        1	        2	        0	        7	       12	         0.17	          0.08	         0.17	          0.00	           0.58	           1.00	         0	                 0.00	         2	         1	         2	         0	         7	        12	          0.17	           0.08	          0.17	           0.00	            0.58	            1.00	               2	               1	               2	               0	               7	              12	                0.17	                 0.08	                0.17	                 0.00	                  0.58	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Boardman, J.P.	3	Boardman, Dr James Peter	125.0	3.0	13.0	29.0	516.0	0.00503846870859008	0.00321319149607145	0.00474722391896649	0.00139337415915946	0.374358974358974	229.0	0.155777189906052	32.36764438562	0.809191109640501	1.0	1.0	1.0	         8.79	            2	            7	           10	           10	           12	      8.79	         2	         7	        10	        10	        12	        2	        0	        1	        1	       10	       14	         0.14	          0.00	         0.07	          0.07	           0.71	           1.00	         0	                 0.00	         2	         0	         1	         1	        10	        14	          0.14	           0.00	          0.07	           0.07	            0.71	            1.00	               1	               0	               1	               1	              10	              13	                0.07	                 0.00	                0.07	                 0.07	                  0.71	                  0.93	              1	              0	              0	              0	              0	              1	               0.07	                0.00	               0.00	                0.00	                 0.00	                 0.07
Dr Boardman, J.P.	4	
Dr Boily, M.C.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         3.29	            2	            2	            3	            5	            5	      3.29	         2	         2	         3	         5	         5	        8	        1	        3	        1	        1	       14	         0.57	          0.07	         0.21	          0.07	           0.07	           1.00	         0	                 0.00	         8	         1	         3	         1	         1	        14	          0.57	           0.07	          0.21	           0.07	            0.07	            1.00	               5	               1	               3	               1	               1	              11	                0.36	                 0.07	                0.21	                 0.07	                  0.07	                  0.79	              3	              0	              0	              0	              0	              3	               0.21	                0.00	               0.00	                0.00	                 0.00	                 0.21
Dr Boily, M.C.	1	Boily, Dr Marie-Claude	126.0	1.0	5.0	6.0	81.0	0.00476459248074005	0.0208406475388904	0.00690262840027982	1.02651112412332E-4	0.243589743589743	0.191705768936032	10.7460317460317	0.826617826617826	1371.0	1.0	0.0	5.0	         3.83	            3	            3	            3	            5	            6	      3.83	         3	         3	         3	         5	         6	        3	        1	        1	        1	        0	        6	         0.50	          0.17	         0.17	          0.17	           0.00	           1.00	         0	                 0.00	         3	         1	         1	         1	         0	         6	          0.50	           0.17	          0.17	           0.17	            0.00	            1.00	               3	               1	               1	               1	               0	               6	                0.50	                 0.17	                0.17	                 0.17	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Boily, M.C.	2	Boily, Dr Marie-Claude	126.0	2.0	10.0	17.0	249.0	0.00879140200883536	0.061532004274592	0.00523483092021059	1.55915336057888E-6	0.161688311688311	67.0	0.0694289708658049	49.1181592039801	0.877109985785359	1.0	0.0	5.0	         7.18	            2	            4	            6	           11	           12	      7.18	         2	         4	         6	        11	        12	        4	        1	        4	        0	        2	       11	         0.36	          0.09	         0.36	          0.00	           0.18	           1.00	         0	                 0.00	         4	         1	         4	         0	         2	        11	          0.36	           0.09	          0.36	           0.00	            0.18	            1.00	               4	               0	               4	               0	               2	              10	                0.36	                 0.00	                0.36	                 0.00	                  0.18	                  0.91	              0	              1	              0	              0	              0	              1	               0.00	                0.09	               0.00	                0.00	                 0.00	                 0.09
Dr Boily, M.C.	3	Boily, Dr Marie-Claude	126.0	3.0	13.0	39.0	511.0	0.00957309054632116	0.0617254895316809	0.00451404193189668	1.01941940046202E-5	0.133684210526315	133.0	0.0497135791884914	69.4122657835063	0.913319286625083	1.0	0.0	5.0	         6.75	            3	            4	            6	           10	           15	      6.75	         3	         4	         6	        10	        15	        6	        7	        5	        0	        2	       20	         0.30	          0.35	         0.25	          0.00	           0.10	           1.00	         0	                 0.00	         6	         7	         5	         0	         2	        20	          0.30	           0.35	          0.25	           0.00	            0.10	            1.00	               6	               7	               5	               0	               2	              20	                0.30	                 0.35	                0.25	                 0.00	                  0.10	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Boily, M.C.	4	
Professor Boobis, A.R.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         4.73	            1	            3	            4	            5	           37	      4.81	         2	         3	         4	         5	        37	       59	       60	       51	       44	       20	      234	         0.25	          0.26	         0.22	          0.19	           0.09	           1.00	         5	                 0.02	        54	        60	        51	        44	        20	       229	          0.23	           0.26	          0.22	           0.19	            0.09	            0.98	              23	              60	              48	              44	              20	             195	                0.10	                 0.26	                0.21	                 0.19	                  0.09	                  0.83	             31	              0	              3	              0	              0	             34	               0.13	                0.00	               0.01	                0.00	                 0.00	                 0.15
Professor Boobis, A.R.	1	Boobis, Professor Alan Raymond OBE	339.0	1.0	15.0	28.0	939.0	0.0480124319213035	0.120046677389353	0.0100499855097141	0.0324168151932032	0.101702877275396	251.0	0.0405666302733409	121.928568559885	0.930752431754849	3.0	0.0	3.0	         8.64	            1	            5	            7	           13	           19	      8.86	         3	         5	         7	        13	        19	        2	        4	        3	       14	       13	       36	         0.06	          0.11	         0.08	          0.39	           0.36	           1.00	         1	                 0.03	         1	         4	         3	        14	        13	        35	          0.03	           0.11	          0.08	           0.39	            0.36	            0.97	               0	               4	               3	              14	              13	              34	                0.00	                 0.11	                0.08	                 0.39	                  0.36	                  0.94	              1	              0	              0	              0	              0	              1	               0.03	                0.00	               0.00	                0.00	                 0.00	                 0.03
Professor Boobis, A.R.	2	Boobis, Professor Alan Raymond OBE	339.0	2.0	21.0	50.0	1401.0	0.021350547735743	0.267552164032154	0.00605106368293581	3.07482453354692E-6	0.101960784313725	171.0	0.02708718580678	124.535657842335	0.915703366487761	3.0	0.0	3.0	         9.48	            4	            5	            7	           10	           31	      9.48	         4	         5	         7	        10	        31	        1	        5	        1	        5	       11	       23	         0.04	          0.22	         0.04	          0.22	           0.48	           1.00	         0	                 0.00	         1	         5	         1	         5	        11	        23	          0.04	           0.22	          0.04	           0.22	            0.48	            1.00	               1	               5	               1	               5	              11	              23	                0.04	                 0.22	                0.04	                 0.22	                  0.48	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Professor Boobis, A.R.	3	Boobis, Professor Alan Raymond OBE	339.0	3.0	23.0	86.0	1607.0	0.0112105928766129	0.121519512114113	0.00444438638434397	1.19374403936034E-5	0.109805924412665	204.0	0.0623145249058616	81.4218042986425	0.914851733692613	3.0	0.0	3.0	         8.13	            1	            6	            8	           10	           21	      8.37	         3	         6	         8	        10	        21	        3	        4	        3	        5	       16	       31	         0.10	          0.13	         0.10	          0.16	           0.52	           1.00	         1	                 0.03	         2	         4	         3	         5	        16	        30	          0.06	           0.13	          0.10	           0.16	            0.52	            0.97	               1	               4	               3	               5	              15	              28	                0.03	                 0.13	                0.10	                 0.16	                  0.48	                  0.90	              1	              0	              0	              0	              1	              2	               0.03	                0.00	               0.00	                0.00	                 0.03	                 0.06
Professor Boobis, A.R.	4	
Dr Booton, P.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         2.00	            1	            1	            2	            3	            3	      2.50	         2	         2	         3	         3	         3	        1	        2	        0	        0	        0	        3	         0.33	          0.67	         0.00	          0.00	           0.00	           1.00	         1	                 0.33	         0	         2	         0	         0	         0	         2	          0.00	           0.67	          0.00	           0.00	            0.00	            0.67	               0	               2	               0	               0	               0	               2	                0.00	                 0.67	                0.00	                 0.00	                  0.00	                  0.67	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Booton, P.	1	Booton, Dr Paul	127.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	UNSET	UNSET	UNSET	0.0	1.0	1.0	5.0	         1.00	            1	            1	            1	            1	            1	          	          	          	          	          	          	        1	        0	        0	        0	        0	        1	         1.00	          0.00	         0.00	          0.00	           0.00	           1.00	         1	                 1.00	         0	         0	         0	         0	         0	         0	          0.00	           0.00	          0.00	           0.00	            0.00	            0.00	               0	               0	               0	               0	               0	               0	                0.00	                 0.00	                0.00	                 0.00	                  0.00	                  0.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Booton, P.	2	Booton, Dr Paul	127.0	2.0	0.0	0.0	0.0	 	 	 	 	 	 	 	 	 	1.0	1.0	5.0	             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
Dr Booton, P.	3	Booton, Dr Paul	127.0	3.0	0.0	3.0	0.0	8.81732024003265E-4	0.00250057390246684	0.0040724906760836	4.77490200246018E-6	0.714285714285714	13.0	0.28047285221989	3.6051282051282	0.515018315018315	1.0	1.0	5.0	         4.50	            2	            2	            7	            7	            7	      4.50	         2	         2	         7	         7	         7	        0	        1	        0	        0	        1	        2	         0.00	          0.50	         0.00	          0.00	           0.50	           1.00	         0	                 0.00	         0	         1	         0	         0	         1	         2	          0.00	           0.50	          0.00	           0.00	            0.50	            1.00	               0	               1	               0	               0	               1	               2	                0.00	                 0.50	                0.00	                 0.00	                  0.50	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Booton, P.	4	
Dr Bottle, R.A.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
Dr Bottle, R.A.	1	Bottle, Dr Robert Alex (Alex)	9.0	1.0	3.0	7.0	74.0	0.00623062093635237	0.00336735281905595	0.00859969364032724	0.00814759026991948	0.38235294117647	26.0	0.20086845433064	13.5938049130356	0.799635583119745	0.0	0.0	5.0	         4.71	            3	            4	            4	            5	            9	      4.71	         3	         4	         4	         5	         9	        1	        0	        3	        3	        0	        7	         0.14	          0.00	         0.43	          0.43	           0.00	           1.00	         0	                 0.00	         1	         0	         3	         3	         0	         7	          0.14	           0.00	          0.43	           0.43	            0.00	            1.00	               1	               0	               3	               2	               0	               6	                0.14	                 0.00	                0.43	                 0.29	                  0.00	                  0.86	              0	              0	              0	              1	              0	              1	               0.00	                0.00	               0.00	                0.14	                 0.00	                 0.14
Dr Bottle, R.A.	2	Bottle, Dr Robert Alex (Alex)	9.0	2.0	8.0	33.0	271.0	0.0034537650748996	0.00920462143333786	0.00547969596508119	4.32705262917271E-6	0.294372294372294	85.0	0.406107384737125	19.1264239028944	0.869382904677022	0.0	0.0	5.0	         3.88	            2	            3	            4	            4	           10	      3.88	         2	         3	         4	         4	        10	        5	        8	        4	        9	        0	       26	         0.19	          0.31	         0.15	          0.35	           0.00	           1.00	         0	                 0.00	         5	         8	         4	         9	         0	        26	          0.19	           0.31	          0.15	           0.35	            0.00	            1.00	               4	               8	               4	               9	               0	              25	                0.15	                 0.31	                0.15	                 0.35	                  0.00	                  0.96	              1	              0	              0	              0	              0	              1	               0.04	                0.00	               0.00	                0.00	                 0.00	                 0.04
Dr Bottle, R.A.	3	Bottle, Dr Robert Alex (Alex)	9.0	3.0	10.0	59.0	373.0	0.00516443042630483	0.0510313449082975	0.00516646754103734	0.00125648275692653	0.178048780487804	124.0	0.12078335774861	37.782388234935	0.921521664266707	0.0	0.0	5.0	         4.05	            2	            3	            4	            5	            8	      4.05	         2	         3	         4	         5	         8	        5	        2	        9	        2	        2	       20	         0.25	          0.10	         0.45	          0.10	           0.10	           1.00	         0	                 0.00	         5	         2	         9	         2	         2	        20	          0.25	           0.10	          0.45	           0.10	            0.10	            1.00	               5	               1	               4	               2	               2	              14	                0.25	                 0.05	                0.20	                 0.10	                  0.10	                  0.70	              0	              1	              5	              0	              0	              6	               0.00	                0.05	               0.25	                0.00	                 0.00	                 0.30
Dr Bottle, R.A.	4	
Professor Botto, M.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         6.07	            1	            4	            6	            8	           13	      6.19	         2	         4	         6	         8	        13	       11	       11	        7	        0	       14	       43	         0.26	          0.26	         0.16	          0.00	           0.33	           1.00	         1	                 0.02	        10	        11	         7	         0	        14	        42	          0.23	           0.26	          0.16	           0.00	            0.33	            0.98	               7	              11	               7	               0	              14	              39	                0.16	                 0.26	                0.16	                 0.00	                  0.33	                  0.91	              3	              0	              0	              0	              0	              3	               0.07	                0.00	               0.00	                0.00	                 0.00	                 0.07
Professor Botto, M.	1	Botto, Professor Marina	340.0	1.0	21.0	28.0	2034.0	0.0472794176934974	0.228052870306344	0.00982982960441315	0.0216065502226923	0.0816375968992248	225.0	0.0655038014644211	122.88755539377	0.952616708478844	3.0	1.0	3.0	         7.14	            1	            5	            7	            9	           20	      7.37	         2	         5	         7	         9	        20	        2	        7	        4	        4	       11	       28	         0.07	          0.25	         0.14	          0.14	           0.39	           1.00	         1	                 0.04	         1	         7	         4	         4	        11	        27	          0.04	           0.25	          0.14	           0.14	            0.39	            0.96	               0	               7	               4	               4	              11	              26	                0.00	                 0.25	                0.14	                 0.14	                  0.39	                  0.93	              1	              0	              0	              0	              0	              1	               0.04	                0.00	               0.00	                0.00	                 0.00	                 0.04
