Author	Period	Full Name	ID	Time Period	h index	Number of publications 	Number of citations 	Degree 	Betweenness 	Closeness 	Eigenvector 	Clustering Coefficient	Strength	Constraint	Effective Size	Efficiency	Academic Tenure 0 = lecturer, 1 = senior lecturer, 2 = reader, 3 = professor	Clinical Activity(1=clinician, 0=non clinician)	Department 1 = Clinical Sciences, 2 = Kennedy Institue of Rheumatology, 3 = Medicine, 4 = NHLI, 5 = School of Public Health, 6 = Surgery and Cancer	 No.Auth.Mean	  No.Auth.Min	   No.Auth.Q1	   No.Auth.Q2	   No.Auth.Q3	  No.Auth.Max	 Team.Mean	  Team.Min	   Team.Q1	   Team.Q2	   Team.Q3	  Team.Max	  All.1st	 All.Last	  All.2nd	 All.PenU	All.Other	All.Total	     All.1st%	     All.Last%	     All.2nd%	     All.PenU%	     All.Other%	     All.Total%	Solo.Total	     Solo.Total%	  Team.1st	 Team.Last	  Team.2nd	 Team.PenU	Team.Other	Team.Total	     Team.1st%	     Team.Last%	     Team.2nd%	     Team.PenU%	     Team.Other%	     Team.Total%	  NAlphaTeam.1st	 NAlphaTeam.Last	  NAlphaTeam.2nd	 NAlphaTeam.PenU	NAlphaTeam.Other	NAlphaTeam.Total	     NAlphaTeam.1st%	     NAlphaTeam.Last%	     NAlphaTeam.2nd%	     NAlphaTeam.PenU%	     NAlphaTeam.Other%	     NAlphaTeam.Total%	  AlphaTeam.1st	 AlphaTeam.Last	  AlphaTeam.2nd	 AlphaTeam.PenU	AlphaTeam.Other	AlphaTeam.Total	     AlphaTeam.1st%	     AlphaTeam.Last%	     AlphaTeam.2nd%	     AlphaTeam.PenU%	     AlphaTeam.Other%	     AlphaTeam.Total%
Dr Abraham, S.M.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
Dr Abraham, S.M.	1	Abraham, Dr Sonya Marie	112.0	1.0	1.0	1.0	175.0	0.00329856402512772	0.00116042572657575	0.00806575391058192	0.00314007625952867	0.444444444444444	13.0	0.205153307212093	6.6051282051282	0.733903133903134	1.0	1.0	2.0	         5.00	            5	            5	            5	            5	            5	      5.00	         5	         5	         5	         5	         5	        0	        0	        1	        0	        0	        1	         0.00	          0.00	         1.00	          0.00	           0.00	           1.00	         0	                 0.00	         0	         0	         1	         0	         0	         1	          0.00	           0.00	          1.00	           0.00	            0.00	            1.00	               0	               0	               1	               0	               0	               1	                0.00	                 0.00	                1.00	                 0.00	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Abraham, S.M.	2	Abraham, Dr Sonya Marie	112.0	2.0	3.0	6.0	313.0	0.00109892525110442	0.0	0.0044623371562546	3.80335700843007E-10	1.0	14.0	0.401751130498728	2.22789115646258	0.31827016520894	1.0	1.0	2.0	         4.00	            2	            3	            3	            4	            8	      4.00	         2	         3	         3	         4	         8	        4	        0	        0	        1	        0	        5	         0.80	          0.00	         0.00	          0.20	           0.00	           1.00	         0	                 0.00	         4	         0	         0	         1	         0	         5	          0.80	           0.00	          0.00	           0.20	            0.00	            1.00	               2	               0	               0	               1	               0	               3	                0.40	                 0.00	                0.00	                 0.20	                  0.00	                  0.60	              2	              0	              0	              0	              0	              2	               0.40	                0.00	               0.00	                0.00	                 0.00	                 0.40
Dr Abraham, S.M.	3	Abraham, Dr Sonya Marie	112.0	3.0	3.0	9.0	314.0	7.55770306288512E-4	0.0100013449418015	0.0033576574576489	4.29647646371095E-10	0.266666666666666	6.0	0.350235821759259	4.77777777777777	0.796296296296296	1.0	1.0	2.0	         2.00	            2	            2	            2	            2	            2	      2.00	         2	         2	         2	         2	         2	        0	        1	        0	        0	        0	        1	         0.00	          1.00	         0.00	          0.00	           0.00	           1.00	         0	                 0.00	         0	         1	         0	         0	         0	         1	          0.00	           1.00	          0.00	           0.00	            0.00	            1.00	               0	               1	               0	               0	               0	               1	                0.00	                 1.00	                0.00	                 0.00	                  0.00	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Abraham, S.M.	4	
Professor Adcock, I.M.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         4.75	            1	            3	            5	            6	           11	      4.94	         2	         3	         5	         6	        11	       28	       14	       11	       14	       16	       83	         0.34	          0.17	         0.13	          0.17	           0.19	           1.00	         4	                 0.05	        24	        14	        11	        14	        16	        79	          0.29	           0.17	          0.13	           0.17	            0.19	            0.95	              19	              14	              11	              14	              16	              74	                0.23	                 0.17	                0.13	                 0.17	                  0.19	                  0.89	              5	              0	              0	              0	              0	              5	               0.06	                0.00	               0.00	                0.00	                 0.00	                 0.06
Professor Adcock, I.M.	1	Adcock, Professor Ian Michael	315.0	1.0	31.0	51.0	3056.0	0.059374152452299	0.179163724703519	0.0102264024340091	0.0397670982938659	0.108120542903151	332.0	0.0345935283372806	151.997451820267	0.938255875433752	3.0	0.0	4.0	         6.49	            1	            2	            6	            8	           30	      7.09	         2	         3	         6	         8	        30	        9	       18	        6	        7	       11	       51	         0.18	          0.35	         0.12	          0.14	           0.22	           1.00	         5	                 0.10	         4	        18	         6	         7	        11	        46	          0.08	           0.35	          0.12	           0.14	            0.22	            0.90	               0	              18	               6	               7	              11	              42	                0.00	                 0.35	                0.12	                 0.14	                  0.22	                  0.82	              4	              0	              0	              0	              0	              4	               0.08	                0.00	               0.00	                0.00	                 0.00	                 0.08
Professor Adcock, I.M.	2	Adcock, Professor Ian Michael	315.0	2.0	42.0	121.0	5673.0	0.0171118360529116	0.113761989934493	0.00600371466631938	3.12469900434048E-6	0.0929323819232076	244.0	0.0883496748629511	103.472057666832	0.949284932723232	3.0	0.0	4.0	         5.69	            1	            3	            6	            8	           16	      5.90	         2	         3	         6	         8	        16	       15	       27	        3	       15	       10	       70	         0.21	          0.39	         0.04	          0.21	           0.14	           1.00	         3	                 0.04	        12	        27	         3	        15	        10	        67	          0.17	           0.39	          0.04	           0.21	            0.14	            0.96	               5	              27	               3	              15	              10	              60	                0.07	                 0.39	                0.04	                 0.21	                  0.14	                  0.86	              7	              0	              0	              0	              0	              7	               0.10	                0.00	               0.00	                0.00	                 0.00	                 0.10
Professor Adcock, I.M.	3	Adcock, Professor Ian Michael	315.0	3.0	43.0	172.0	6253.0	0.0156192529966292	0.0726093228849233	0.00487920152944337	1.72078272255848E-5	0.0987411487018096	263.0	0.0581718437121407	116.77715613495	0.941751259152829	3.0	0.0	4.0	         6.27	            1	            3	            5	            9	           16	      6.39	         2	         3	         6	         9	        16	        8	       10	        5	       15	        7	       45	         0.18	          0.22	         0.11	          0.33	           0.16	           1.00	         1	                 0.02	         7	        10	         5	        15	         7	        44	          0.16	           0.22	          0.11	           0.33	            0.16	            0.98	               2	              10	               5	              15	               7	              39	                0.04	                 0.22	                0.11	                 0.33	                  0.16	                  0.87	              5	              0	              0	              0	              0	              5	               0.11	                0.00	               0.00	                0.00	                 0.00	                 0.11
Professor Adcock, I.M.	4	
Dr Agarwal, R.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	             	             	             	             	             	             	          	          	          	          	          	          	        0	        0	        0	        0	        0	        0	             	              	             	              	               	               	         0	                     	         0	         0	         0	         0	         0	         0	              	               	              	               	                	                	               0	               0	               0	               0	               0	               0	                    	                     	                    	                     	                      	                      	              0	              0	              0	              0	              0	              0	                   	                    	                   	                    	                     	                     
Dr Agarwal, R.	1	Agarwal, Dr Roshan	113.0	1.0	4.0	5.0	223.0	0.018325355695154	0.0850398390677217	0.00908234719840061	0.0128672335214212	0.101950354609929	 	 	 	 	1.0	1.0	6.0	         4.60	            2	            3	            4	            6	            8	      4.60	         2	         3	         4	         6	         8	        4	        0	        1	        0	        0	        5	         0.80	          0.00	         0.20	          0.00	           0.00	           1.00	         0	                 0.00	         4	         0	         1	         0	         0	         5	          0.80	           0.00	          0.20	           0.00	            0.00	            1.00	               2	               0	               1	               0	               0	               3	                0.40	                 0.00	                0.20	                 0.00	                  0.00	                  0.60	              2	              0	              0	              0	              0	              2	               0.40	                0.00	               0.00	                0.00	                 0.00	                 0.40
Dr Agarwal, R.	2	Agarwal, Dr Roshan	113.0	2.0	8.0	11.0	323.0	0.0138150602995984	0.149970996540158	0.00607430507979756	5.96827633095618E-4	0.0885579937304075	195.0	0.0855593044003708	82.7424233167536	0.940254810417655	1.0	1.0	6.0	         4.33	            2	            2	            3	            6	           10	      4.33	         2	         2	         3	         6	        10	        3	        0	        1	        0	        2	        6	         0.50	          0.00	         0.17	          0.00	           0.33	           1.00	         0	                 0.00	         3	         0	         1	         0	         2	         6	          0.50	           0.00	          0.17	           0.00	            0.33	            1.00	               1	               0	               1	               0	               2	               4	                0.17	                 0.00	                0.17	                 0.00	                  0.33	                  0.67	              2	              0	              0	              0	              0	              2	               0.33	                0.00	               0.00	                0.00	                 0.00	                 0.33
Dr Agarwal, R.	3	Agarwal, Dr Roshan	113.0	3.0	9.0	20.0	385.0	 	 	 	 	 	302.0	0.036969040363704	172.22072767086	0.956781820393667	1.0	1.0	6.0	        12.14	            4	            5	           12	           19	           27	     12.14	         4	         5	        12	        19	        27	        1	        1	        1	        0	        4	        7	         0.14	          0.14	         0.14	          0.00	           0.57	           1.00	         0	                 0.00	         1	         1	         1	         0	         4	         7	          0.14	           0.14	          0.14	           0.00	            0.57	            1.00	               1	               1	               1	               0	               4	               7	                0.14	                 0.14	                0.14	                 0.00	                  0.57	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Dr Agarwal, R.	4	
Mr Aggarwal, R.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         4.30	            1	            3	            4	            5	           12	      4.47	         2	         3	         4	         5	        12	       19	        1	       14	        1	        5	       40	         0.48	          0.03	         0.35	          0.03	           0.13	           1.00	         2	                 0.05	        17	         1	        14	         1	         5	        38	          0.43	           0.03	          0.35	           0.03	            0.13	            0.95	              13	               1	              14	               1	               5	              34	                0.33	                 0.03	                0.35	                 0.03	                  0.13	                  0.85	              4	              0	              0	              0	              0	              4	               0.10	                0.00	               0.00	                0.00	                 0.00	                 0.10
Mr Aggarwal, R.	1	Aggarwal, Mr Rajesh	1.0	1.0	2.0	3.0	12.0	0.018325355695154	0.0850398390677217	0.00908234719840061	0.0128672335214212	0.101950354609929	77.0	0.0480535771627995	45.3442978293245	0.906885956586491	0.0	1.0	6.0	         5.33	            3	            3	            5	            8	            8	      5.33	         3	         3	         5	         8	         8	        0	        2	        0	        0	        1	        3	         0.00	          0.67	         0.00	          0.00	           0.33	           1.00	         0	                 0.00	         0	         2	         0	         0	         1	         3	          0.00	           0.67	          0.00	           0.00	            0.33	            1.00	               0	               2	               0	               0	               1	               3	                0.00	                 0.67	                0.00	                 0.00	                  0.33	                  1.00	              0	              0	              0	              0	              0	              0	               0.00	                0.00	               0.00	                0.00	                 0.00	                 0.00
Mr Aggarwal, R.	2	Aggarwal, Mr Rajesh	1.0	2.0	12.0	30.0	599.0	0.0138150602995984	0.149970996540158	0.00607430507979756	5.96827633095618E-4	0.0885579937304075	195.0	0.0855593044003708	82.7424233167536	0.940254810417655	0.0	1.0	6.0	         5.28	            2	            3	            6	            7	           10	      5.28	         2	         3	         6	         7	        10	       15	        0	        6	        3	        8	       32	         0.47	          0.00	         0.19	          0.09	           0.25	           1.00	         0	                 0.00	        15	         0	         6	         3	         8	        32	          0.47	           0.00	          0.19	           0.09	            0.25	            1.00	               9	               0	               6	               3	               8	              26	                0.28	                 0.00	                0.19	                 0.09	                  0.25	                  0.81	              6	              0	              0	              0	              0	              6	               0.19	                0.00	               0.00	                0.00	                 0.00	                 0.19
Mr Aggarwal, R.	3	Aggarwal, Mr Rajesh	1.0	3.0	16.0	71.0	881.0	0.0226731091886553	0.259469012242298	0.00512914945867283	2.07036614163249E-5	0.0682184978274363	302.0	0.036969040363704	172.22072767086	0.956781820393667	0.0	1.0	6.0	         5.45	            2	            3	            5	            7	           12	      5.45	         2	         3	         5	         7	        12	       18	        4	       18	        0	       11	       51	         0.35	          0.08	         0.35	          0.00	           0.22	           1.00	         0	                 0.00	        18	         4	        18	         0	        11	        51	          0.35	           0.08	          0.35	           0.00	            0.22	            1.00	              10	               4	              18	               0	              11	              43	                0.20	                 0.08	                0.35	                 0.00	                  0.22	                  0.84	              8	              0	              0	              0	              0	              8	               0.16	                0.00	               0.00	                0.00	                 0.00	                 0.16
Mr Aggarwal, R.	4	
Dr Agranoff, D.D.	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	         3.89	            1	            2	            2	            5	           11	      4.71	         2	         2	         4	         7	        11	        7	        0	        0	        0	        2	        9	         0.78	          0.00	         0.00	          0.00	           0.22	           1.00	         2	                 0.22	         5	         0	         0	         0	         2	         7	          0.56	           0.00	          0.00	           0.00	            0.22	            0.78	               2	               0	               0	               0	               2	               4	                0.22	                 0.00	                0.00	                 0.00	                  0.22	                  0.44	              3	              0	              0	              0	              0	              3	               0.33	                0.00	               0.00	                0.00	                 0.00	                 0.33
